PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZB	ZS	Z9	U1	U2	SN	EI	BN	UT	PM
J	Warnier, JP								A praxeological approach to subjectivation in a material world								JOURNAL OF MATERIAL CULTURE				6	1			5	24					MAR 2001	2001	This article aims at bringing together various lines of analysis that have been kept more or less separate until now, that is, studies on the body, motricity, perception, agency, material culture, the subject, unconscious drives, and power systems. By drawing on the work of Mauss, Schilder, Tisseron, Parlebas and Foucault, it discusses how the subject and its drives are invested in sensori-motricity in a material world. When it is socially validated and coded, such an investment amounts to what Foucault called the 'techniques of the self'. The subjectivation thus achieved may be consistent or at odds with corresponding representations. The notions provided by praxeology, the science of sensori-motricity, may help in producing an ethnography of subjectivation in a material world.									48	0	0	0	3	50			1359-1835			WOS:000167925200001	
J	Bille, Mikkel; Sorensen, Tim Flohr								An anthropology of luminosity								JOURNAL OF MATERIAL CULTURE				12	3			263	284		10.1177/1359183507081894			NOV 2007	2007	This article addresses the relationship between light, material culture and social experiences. It argues that understanding light as a powerful social agent, in its relationship with people, things, colours, shininess and places, may facilitate an appreciation of the active social role of luminosity in the practice of day-to-day activities. The article surveys an array of past conceptions of light within philosophy, natural science and more recent approaches to light in the fields of anthropology and material culture studies. A number of implications are discussed, and by way of three case studies it is argued that light may be used as a tool for exercising social intimacy and inclusion, of shaping moral spaces and hospitality, and orchestrating movement, while working as a metaphor as well as a material agent in these social negotiations. The social comprehension of light is a means of understanding social positions in ways that may be real or imagined, but are bound up on the social and cultural associations of certain lightscapes.									43	0	0	3	1	44			1359-1835			WOS:000251394200003	
J	Knappett, C								Photographs, skeuomorphs and marionettes - Some thoughts on mind, agency and object								JOURNAL OF MATERIAL CULTURE				7	1			97	117		10.1177/1359183502007001307			MAR 2002	2002	The aim of this article is to investigate the agency of objects, a seemingly paradoxical statement within most recent western thought, in which agents and objects are sharply contrasted. However, in an important attempt to overcome the profound dichotomy between people and things, the observation that 'objects have social lives' has become something of a mantra in material culture studies. Yet rather more than a mantra is required if we are to move forward in our understanding of the complex workings of material culture; we need to investigate the potentially diverse processes whereby 'inanimate' objects come to be socially alive. To this end, an interdisciplinary approach is adopted that draws upon current research in archaeology, anthropology aesthetics, sociology, and cognitive psychology.									44	0	0	1	0	44			1359-1835			WOS:000174550500005	
J	Herzfeld, Michael								Spatial cleansing - Monumental vacuity and the idea of the West								JOURNAL OF MATERIAL CULTURE				11	1-2			127	149		10.1177/1359183506063016			MAR-JUL 2006	2006	This article comprises preliminary remarks about spatiality and power, with a particular focus on field data from Greece and Thailand (with secondary materials from Italy). I suggest that the creation of large open spaces in city contexts, generating a marked contrast with local tolerance of crowding, represents the intrusive presence of regimentation and aesthetic domination. Within a larger pattern of conceding to hegemonic ideas about classical ornamentation as well as rational town-planning, such idioms of 'spatial cleansing' create a context entirely compatible with the current structures of economic inequality. They also occlude the understandings of past experience that characterize local groups wishing to remain in historic centers; it is noteworthy that in Thailand, where the middle class has not yet succumbed to the global fashion for antique domestic spaces as has its counterpart in Italy (and to a lesser extent in Greece), it is the poor who seem more interested in calibrating their lives to official master narratives in the hope of being rewarded with continued rights to inhabit their existing lived environment.					Conference on Landscape, Heritage and Identity in honor of Barbara BenderConference on Landscape, Heritage and Identity in honor of Barbara Bender	MAR 21, 2005MAR 21, 2005		Univ Coll London, London, ENGLANDUniv Coll London, London, ENGLAND	42	0	0	3	1	43			1359-1835	1460-3586		WOS:000238312900008	
J	Layne, LL								'He was a real baby with baby things' - A material culture analysis of personhood, parenthood and pregnancy loss								JOURNAL OF MATERIAL CULTURE				5	3			321	345					NOV 2000	2000	This article explores the ways members of pregnancy loss support groups in the US use material culture to deal with the 'realness problem' of miscarriage, stillbirth, and early infant death. I examine goods purchased or made for the child-to-be during pregnancy; goods given from the child-to-be during the pregnancy; goods given to, or in the memory of, the 'baby' after its death; and things acquired to memorialize the child within the family. Through the buying, giving, and preserving of things, women and their social networks actively construct their babies-to-be and would-have-been babies as 'real babies' and themselves as 'real mothers', worthy of the social recognition this role entails.									41	0	1	0	1	43			1359-1835			WOS:000165460300004	
J	Witmore, Christopher L.								Vision, media, noise and the percolation of time - Symmetrical approaches to the mediation of the material world								JOURNAL OF MATERIAL CULTURE				11	3			267	292		10.1177/1359183506068806			NOV 2006	2006	Why in the articulation of archaeological knowledge have wider sensory properties of the material world been overlooked? This article considers this question in relation to sound. It argues that the neglect of sound is partly the product of human transactions with instruments and media in practice. Moreover, the denial of sound as a relevant category of archaeological inquiry arises out of modernist notions of space-time that reside at the heart of the discipline. So while the visual is linked with spatial properties that are resistant to change, the aural is connected with the temporal and is considered momentary and fleeting in nature. Still, it is argued that sound as a quality of things is fundamental to human sensation - to being. In building upon a non-modernist notion of time where entities and events quite distant in a linear temporality are proximate through their simultaneous entanglement and percolation I suggest we might learn what we can understand from tuning into the acoustic properties of the material past. But rather than reproduce an unnecessary dualism between seeing and hearing, this endeavor will require us to relearn how to see and hear at the same time through other, complimentary modes of articulation and engagement.					Seeing the Past Conference 2005Seeing the Past Conference 2005	FEB, 2005FEB, 2005		Stanford Univ, Palo Alto, CAStanford Univ, Palo Alto, CA	39	0	0	2	0	39			1359-1835			WOS:000242441800001	
J	Palmer, C								From theory to practice - Experiencing the nation in everyday life								JOURNAL OF MATERIAL CULTURE				3	2			175	199		10.1177/135918359800300203			JUL 1998	1998	This article discusses how the concept of banal nationalism can enable theories of national identity to be related to the lives of ordinary people. It links this concept to three key areas, the body, food and the landscape arguing that these are as much 'flags of identity' as are the more obvious symbols of national belonging: coins, costumes, anthems and ceremonies. It further states that these flags provide a system of reference within which aspects of the material world are used, consumed and experienced. It is, therefore, important to consider how this system operates so that a better understanding can be gained into how a sense of belonging and identity is communicated and maintained.									36	0	0	0	2	38			1359-1835			WOS:000075080900003	
J	Richards, C								Henges and water - Towards an elemental understanding of monumentality and landscape in late Neolithic Britain								JOURNAL OF MATERIAL CULTURE				1	3			313	336		10.1177/135918359600100303			NOV 1996	1996	This paper examines the adoption by archaeologists of perspectives of 'landscape' currently being explored in the social sciences. Despite an appreciation of the social construction of landscape and nature, it is suggested that generally archaeologists have failed to take account of the significance of the social identification of 'natural' constituents of the world. Virtually all societies identify particular 'elements' in the composition of the experienced world and cosmos. The importance of these elements is that they represent the basic substances from which everything is derived and to which everything decays (including humanity). Therefore, elements maintain ontological status and provide a potent symbolic medium of expression. Here the late Neolithic henge monuments of Britain, the architecture of which has defied archaeological interpretation, is examined in terms of a representation of landscape and a strategic deployment of 'elements'. In particular, the element of water is identified as being a major component in their architectural image and symbolic constitution. The henge monuments are shown to embody a physical representation of the local topography and to draw heavily on that topography to create a series of homologies of landscape. A crucial aspect of this observation is the suggestion that archaeologists have misconceived the visual appearance of henge monuments, particularly the probability that the enclosure ditches were receptacles for water. Furthermore, it is argued that the relationship between henges and rivers provides a metaphorical conjunction between the natural flowing of water and human movement into the monuments. It is hoped that this study will focus attention on the importance of the social constitution of nature and landscape, and the influence this may have on the materiality of architectural representation.									38	0	0	0	0	38			1359-1835			WOS:A1996WE77400003	
J	Lucas, G								Disposability and dispossession in the twentieth century								JOURNAL OF MATERIAL CULTURE				7	1			5	22		10.1177/1359183502007001303			MAR 2002	2002	This article addresses the issue of disposability in modern Anglo-American society, through a historical and archaeological perspective of late 19th- and 20th-century practices surrounding waste. Starting from what is identified as a dilemma in disposability, caught between two moral systems of the household - thrift and hygiene - this article discusses these systems in terms of waste and the activities surrounding it. Through examination of various practices and drawing on several examples and case studies, it is argued that the issue of disposability is intimately linked to consumption, specifically through the problem of inalienability and its effect on dispossession or the shedding off of domestic and personal objects.									36	0	0	1	0	36			1359-1835			WOS:000174550500001	
J	Gosselain, OP								In pots we trust - The processing of clay and symbols in sub-Saharan Africa								JOURNAL OF MATERIAL CULTURE				4	2			205	230					JUL 1999	1999	Previous studies have illustrated the symbolic prominence of pottery making in sub-Saharan Africa. In many parts of the continent, the craft is explicitly connected to a series of other production activities and parts of the technical process often serve as a metaphor for explaining aspects of the human experience and to structure certain rituals. Barley goes as far as to speak of a 'potting model', one of many ways available to a culture to think about itself. It remains to be known, however, why African people specifically chose pottery making as a way to act upon/explain the world and why the activity is connected to specific realms of the human experience throughout the continent. Also, one may wonder whether potters' behaviour could in turn be influenced by metaphors, with steps of the chaine operatoire becoming the locus of a symbolic discourse. In an effort to answer these questions, I attempted a systematic comparison of prohibitions and rituals connected to pottery in 102 sub-Saharan societies.									35	0	0	1	2	36			1359-1835			WOS:000081919400005	
J	Jones, A								Where, eagles dare - Landscape, animals and the neolithic of orkney								JOURNAL OF MATERIAL CULTURE				3	3			301	324		10.1177/135918359800300303			NOV 1998	1998	The archaeological study of landscapes has tended to focus on the most tangible aspects of the concept, such as topography, location and view, without focusing on those other aspects of landscape, which at first glance appear to be archaeologically less visible. This paper contends that landscapes cannot simply be considered as a series of unidimensional spaces, rather they must be considered as composed of lived places. This paper sets out to explore the way in which places within the landscape are conceptually framed and constituted through the animal life which inhabits them. The association between certain animal species with different kinds of place is seen as a crucial element in the relationship between place, memory and identity. It is suggested that all these elements of the materiality of animals are important in considering the way in which animals are understood and appropriated by people. These ideas will be examined through the analysis of a series of deposits associated with animals within chambered tombs, passage graves and settlement middens of the late Neolithic period in Orkney.					Megaliths and Social Geography SymposiumMegaliths and Social Geography Symposium	19941994		GOTEBORG UNIV, GOTHENBURG, SWEDENGOTEBORG UNIV, GOTHENBURG, SWEDEN	34	0	0	5	1	35			1359-1835			WOS:000077074900003	
J	Campbell, C								The meaning of objects and the meaning of actions - A critical note on the sociology of consumption and theories of clothing								JOURNAL OF MATERIAL CULTURE				1	1			93	105		10.1177/135918359600100105			MAR 1996	1996	The tendency to take the meanings commonly attached to objects and extend them to the meanings attached to their use is the object of an extended critique. A discussion of the consumption of clothing is used to demonstrate that this tendency involves confusing two logically distinct frames of analysis, the study of material objects and the study of actions. Two central differences between these frameworks are identified, that of the parameters of identity and the nature of meaning. The question of whether the purchase and wearing of items of clothing should be regarded as actions in the full sense is debated, as too is the claim that, even when known to be actions, they can be regarded as revealing choices between alternative life-styles or identities. It is concluded that determining 'the meaning' of an action is a far more complex and difficult process than seeking for 'the meaning' of an object.									33	0		13	0	33			1359-1835			WOS:A1996WE77200004	
J	Minahan, Stella; Cox, Julie Wolfram								Stitch' nBitch - Cyherferninism, a third place and the new materiality								JOURNAL OF MATERIAL CULTURE				12	1			5	21		10.1177/1359183507074559			MAR 2007	2007	We discuss the emergence of a new craft movement known as Stitch'nBitch. Prevalent around the globe, particularly among women, this movement is based locally in places such as hotels and cafes, and virtually using the internet. The women meet to knit, stitch and talk. The groups use new technologies as an enabler and resource exchange. At the same time, their presence can be seen, in part, as a negative response to major political, social and technological changes including globalization, terrorism, damage to the environment and the dislocation of the Information Society. We introduce five themes to assist in the development of a research agenda into this new form of material culture, discussing (1) remedial, (2) progressive, (3) resistance, (4) nostalgic and (5) ironic possibilities. Each is considered in terms of their respective foci on community, cyberfeminism, craft, conservation and comment.									32	0	0	0	0	32			1359-1835			WOS:000244936000001	
J	Strang, V								Common senses - Water, sensory experience and the generation of meaning								JOURNAL OF MATERIAL CULTURE				10	1			92	120		10.1177/1359183505050096			MAR 2005	2005	This article is concerned with the relationship between sensory experience, material realities and the creation of cross-cultural meanings. Focused on water, it offers a comparison of two, highly diverse, ethnographic examples: one an Aboriginal community living alongside the Mitchell River in Far North Queensland, and the other describing the groups inhabiting a river valley in the south of England. It considers how engagements with water are experienced and interpreted within these specific cultural contexts. Drawing on theoretical developments from studies of art and material culture, analyses of cross-cultural aesthetics, and accounts of how meanings are encoded in natural objects, it describes the formal qualities of water and human interactions with these. It suggests that two important 'universalities' - the particular qualities of water, and the physiological and cognitive processes that are common to all human beings - generate cross-cultural themes of meaning that persist over time and space. Thus the ethnographic analysis provides the basis for a discussion about the relationship between universal and cultural experiences, contributing to the critique of cultural relativism and suggesting a need for anthropological theory to recall its comparative foundations.									31	0	0	3	1	32			1359-1835			WOS:000227729700005	
J	Holtorf, C								Notes on the life history of a pot sherd								JOURNAL OF MATERIAL CULTURE				7	1			49	71		10.1177/1359183502007001305			MAR 2002	2002	This article discusses various life history approaches in archaeology: short life histories study the lives of things in the past (until they end up in the ground), long life histories study these lives going on until the present. Both approaches share the assumption that although people are free to give to a thing any meaning they want, their material essence necessarily remains unchanged. As an alternative, I present an ethnographic approach, studying the 'life' of a pot sherd on an excavation project. All the thing's properties and characteristics, including its material identity and age, are taken to be the outcome of processes taking place in the present. The data presented shows in some detail how 'momentary, fluid and flexible' archaeological classifications and interpretations of material culture are. It emerges that the material identities ascribed to things are not their essential properties but the result of specific relationships of people and things: their very materiality is potentially multiple and has a history.									32	0	0	1	1	32			1359-1835			WOS:000174550500003	
J	Miller, D								The fame of trinis: Websites as traps								JOURNAL OF MATERIAL CULTURE				5	1			5	24					MAR 2000	2000	This article attempts to demonstrate the value and insightful nature of the recent work of Alfred Gell through an application of his theoretical ideas on both Art and Agency to the study of Trinidadian websites. It examines both personal and commercial websites produced by Trinidadians and explores how their contents and aesthetic forms strive to attract and trap certain surfers while escaping the attention of those surfers who are not its intended viewers. Websites create an expanded space-time in which on analogy with Kula operators, their owners seek to create their fame and disperse their social efficacy.									31	0	0	10	1	32			1359-1835			WOS:000085507100001	
J	Hetherington, K				French, Shaun/B-1155-2010				Museum topology and the will to connect								JOURNAL OF MATERIAL CULTURE				2	2			199	218		10.1177/135918359700200203			JUL 1997	1997	This paper is concerned with the relationship between material culture and spatiality. Through the example of the ceramics collection in the City Museum and Art Gallery in Stoke-on-Trent, England, an analysis is made of the topological character of space that is folded around certain objects on display. Ozzy the Owl, a 17th-century slipware owl jug, who was discovered on BBC TV's Antiques Roadshow in 1990 and subsequently bought by the museum, is seen as an agent that is constituted by the folding together of preface and afterword in the museum display, unsettling its (Euclidian) geometry, (Kantian) aesthetic and discourse of improvement (organized around Wedgwood). Ozzy brings complexity and connection; his contingent location within the museum's heterogeneous material network reveals the functional blankness of objects and the effect this can have in performing new topological arrangements in a space, revealing the friability and partial connectedness of its narrativity.					Organizing Identities: Museums, Modernity, and Material Culture ConferenceOrganizing Identities: Museums, Modernity, and Material Culture Conference	JAN   29, 1997JAN   29, 1997		KEELE UNIV, KEELE, ENGLANDKEELE UNIV, KEELE, ENGLAND	31	0	0	0	1	32			1359-1835			WOS:A1997XJ42400003	
J	Williams, H								Death warmed up - The agency of bodies and bones in early Anglo-Saxon cremation rites								JOURNAL OF MATERIAL CULTURE				9	3			263	291		10.1177/135918350406894			NOV 2004	2004	It is argued that recent archaeological theories of death and burial have tended to overlook the social and mnemonic agency of the dead body. Drawing upon anthropological, ethnographic and forensic analogies for the effects of fire on the human body, together with Gell's theory of the agency of inanimate objects, the article explores the cremation rites of early Anglo-Saxon England. As a case study in the archaeological study of the mnemonic agency of bodies and bones it is suggested that cremation and postcremation rites in the 5th and 6th centuries AD in eastern England operated as technologies of remembrance. Cremation encouraged distinctive forms of engagement with the physicality and materiality of the dead. It is argued that cremated bodies and ashes need to be theorized as more than osteological data, artefacts or symbolic resources, but as holding material agency influencing the selective remembering and forgetting of the deceased's personhood.									31	0	0	3	0	31			1359-1835			WOS:000225270800003	
J	Thomas, N								The case of the misplaced ponchos - Speculations concerning the history of cloth in Polynesia								JOURNAL OF MATERIAL CULTURE				4	1			5	20					MAR 1999	1999	Research in material culture studies has demonstrated that novel things can be assimilated to existing categories. This approach has implied that indigenous cultures in particular typically employ conservative strategies, in the sense that their recontextualizations of material culture aim to preserve a prior order, rather than produce a new one. This paper emphasizes instead the use of objects to create novel and distinctive values and social orders. It proceeds through discussion of the Polynesian garments known as tiputa or ponchos, which were originally made primarily in Tahiti, but came to be widely distributed in western as well as eastern Polynesia, where their adoption was associated with conversion to Christianity.									29	0	0	7	1	31			1359-1835			WOS:000079136800001	
J	Jones, Sian								NEGOTIATING AUTHENTIC OBJECTS AND AUTHENTIC SELVES Beyond the Deconstruction of Authenticity								JOURNAL OF MATERIAL CULTURE				15	2			181	203		10.1177/1359183510364074			JUN 2010	2010	Our understanding of authenticity in the material world is characterized by a problematic dichotomy between materialist and constructivist perspectives. Neither explains why people find the issue of authenticity so compelling, nor how it is experienced and negotiated in practice. There is strong evidence supporting the view that prevailing materialist approaches to authenticity are a product of the development of modernity in the West. The result has been an emphasis on entities and their origins and essences. However, when we look at how people experience and negotiate authenticity through objects, it is the networks of relationships between people, places and things that appear to be central, not the things in themselves. The author argues that these inalienable relationships between objects, people and places underpin the ineffable, almost magical, power of authenticity and explain why people employ it as a means of negotiating their place in a world characterized by displacement and fragmentation. She illustrates this by drawing on ethnographic research surrounding the Hilton of Cadboll cross-slab.									30	0	0	0	0	30			1359-1835			WOS:000279766400003	
J	Binkley, S								Kitsch as a repetitive system - A problem for the theory of taste hierarchy								JOURNAL OF MATERIAL CULTURE				5	2			131	152					JUL 2000	2000	In this article, an attempt will be made to elaborate a theory of kitsch that dispenses with the traditional hierarchical framework within which kitsch is often understood. Avoiding both the populist approach of cultural studies, and the elitist approach of mass culture theorists, an argument is made for a uniquely kitsch aesthetic that employs the thematics of repetition, imitation and emulation as a distinct aesthetic style. Breaking from traditional analyses of popular conventionality in the realm of taste which aligns taste habits with class identities (such as that offered by Pierre Bourdieu), it is argued instead that the repetitive quality of kitsch addresses a general problem of modernity, that of 'disembeddedness', or the undermining of personal horizons of social and cosmic security ja model drawn from Anthony Giddens). The basis of this argument is drawn from a reconstruction of traditional theories of kitsch, though illustrative cases are offered.									28	0	0	0	0	28			1359-1835			WOS:000088417900001	
J	Ger, G; Belk, RW								Accounting for materialism in four cultures								JOURNAL OF MATERIAL CULTURE				4	2			183	204					JUL 1999	1999	Accounts for materialism are examined based on qualitative research in Romania, Turkey, the USA, and Western Europe. Various spontaneously offered accounts reconcile the discrepancy between the belief that materialism is bad and materialistic consumption behavior and aspirations. These accounts include justifications - passionate connoisseurship, instrumentalism, and altruism - and excuses - the compelling external forces, the ways of the modern world, and deservingness. The differences in accounts can be understood culturally and historically. In negotiating the 'bad' material world with their own consumption worlds, informants draw from various ethics prevalent in their cultures to moralize their personal materialistic consumption. Our findings suggest ways in which materialism, moralized by local accounts, is able to grow globally in spite of its condemnation.									27	0	1	0	0	28			1359-1835			WOS:000081919400004	
J	Carrier, JG								Mind, gaze and engagement - Understanding the environment								JOURNAL OF MATERIAL CULTURE				8	1			5	23		10.1177/1359183503008001760			MAR 2003	2003	A range of works on people's understandings of their surroundings express a recurring assumption that, as societies become more urban and capitalist, people are decreasingly likely to engage in practical and material ways with their surroundings, and are consequently more likely to stand at a distance from those surroundings culturally. This assumption implies that practical engagement is the only form of engagement that leads people to meaningful and consequential relationships with their surroundings, that the alternative to such engagement is something like the tourist gaze or the flaneur. Using a study of some environmental activists, this article raises questions about this assumption.									26	0	0	2	0	27			1359-1835			WOS:000181720000001	
