repo	terms	is_editors	url
a-palchikov/sqlstruct	sqlstruct	false	http://github.com/a-palchikov/sqlstruct
amirabiri/ServiceStack.Text	service stack text	false	http://github.com/amirabiri/ServiceStack.Text
codexcoop/archimistaweb	archimistaweb	false	http://github.com/codexcoop/archimistaweb
rbudiharso/vim-janus-plugins-collection	vim janus plugins collection	True	http://github.com/rbudiharso/vim-janus-plugins-collection
nichthinkof30/copycasts	copycasts	false	http://github.com/nichthinkof30/copycasts
RizaXII/vimfiles	vimfiles	True	http://github.com/RizaXII/vimfiles
clk824/Slim-Views	slim views	false	http://github.com/clk824/Slim-Views
Keinstah/jQuery-contextMenu	jquery contextmenu	false	http://github.com/Keinstah/jQuery-contextMenu
jamesguo/android-support-v4-googlemaps	android support v4 googlemaps	false	http://github.com/jamesguo/android-support-v4-googlemaps
dybite/inception	inception	false	http://github.com/dybite/inception
mattprice/Wired-APNS	wired a p n s	false	http://github.com/mattprice/Wired-APNS
superstructor/nib	nib	false	http://github.com/superstructor/nib
natacado/hatools	hatools	false	http://github.com/natacado/hatools
sduverger/ramooflax	ramooflax	false	http://github.com/sduverger/ramooflax
jonatantierno/SampleAndroidAppTest	sample android app test	false	http://github.com/jonatantierno/SampleAndroidAppTest
netcoffee/emacs-helm-gtags	emacs helm gtags	True	http://github.com/netcoffee/emacs-helm-gtags
dartneti/dart_pen	dart pen	false	http://github.com/dartneti/dart_pen
MrSidewinder/Cache-Commander	cache commander	false	http://github.com/MrSidewinder/Cache-Commander
coderDroid/PhotoSwipe	photo swipe	false	http://github.com/coderDroid/PhotoSwipe
dpackcartonmachine/YSJ-2000-full-automatic-speed-flexo-printer-slotter-machine--216133	y s j	false	http://github.com/dpackcartonmachine/YSJ-2000-full-automatic-speed-flexo-printer-slotter-machine--216133
nafeger/cassandra12-video-app-hector	cassandra  video app hector	false	http://github.com/nafeger/cassandra12-video-app-hector
leotumwattana/sample_app	sample app	false	http://github.com/leotumwattana/sample_app
git109/GrowingTextView	growing text view	false	http://github.com/git109/GrowingTextView
samreaves/Projects_SamAndTyler	projects sam and tyler	false	http://github.com/samreaves/Projects_SamAndTyler
patcon/vagrant-box-updater	vagrant box updater	false	http://github.com/patcon/vagrant-box-updater
syjiangrui/WaxPatch	wax patch	false	http://github.com/syjiangrui/WaxPatch
jordan-developer/pyCMBS	pycmbs	false	http://github.com/jordan-developer/pyCMBS
ntalbott/drbfire	drbfire	false	http://github.com/ntalbott/drbfire
TerenceJefferies/Vimeo-API-Reader	vimeo a p i reader	false	http://github.com/TerenceJefferies/Vimeo-API-Reader
aprimadi/font_assets	font assets	false	http://github.com/aprimadi/font_assets
vibhavp/emacs-literal-config	emacs literal config	True	http://github.com/vibhavp/emacs-literal-config
WestonSF/ArcGISServiceKeepAlive	arc g i s service keep alive	false	http://github.com/WestonSF/ArcGISServiceKeepAlive
stranderen/Eksamen	eksamen	false	http://github.com/stranderen/Eksamen
rsutphin/mrandmrs-rsvp-api	mrandmrs rsvp api	false	http://github.com/rsutphin/mrandmrs-rsvp-api
awexome/doesprettyurls	doesprettyurls	false	http://github.com/awexome/doesprettyurls
Artyom4D/selectize.js	selectize js	false	http://github.com/Artyom4D/selectize.js
jedahan/slitify	slitify	false	http://github.com/jedahan/slitify
arunbeee/goEuroAndroid	goeuroandroid	false	http://github.com/arunbeee/goEuroAndroid
BhupeshGupta/RibbonMenu	ribbon menu	false	http://github.com/BhupeshGupta/RibbonMenu
SemenovEvgeny/sample_app	sample app	false	http://github.com/SemenovEvgeny/sample_app
briciocardoso/belemLivre	belemlivre	false	http://github.com/briciocardoso/belemLivre
mhkh8367/Samsung_Wave_Kernel_SD_NAND	samsung wave kernel s d n a n d	false	http://github.com/mhkh8367/Samsung_Wave_Kernel_SD_NAND
MarcWeber/vim-addon-agda	vim addon agda	True	http://github.com/MarcWeber/vim-addon-agda
weiDavid/david_git	david git	false	http://github.com/weiDavid/david_git
pvijayror/graylog2-server	graylog2 server	false	http://github.com/pvijayror/graylog2-server
arnotixe/gsmprovider	gsmprovider	false	http://github.com/arnotixe/gsmprovider
odacer/ckeditor-rails	ckeditor rails	false	http://github.com/odacer/ckeditor-rails
erwin/ios-custom-alertview	ios custom alertview	false	http://github.com/erwin/ios-custom-alertview
quartzjer/PhotosViewer	photos viewer	false	http://github.com/quartzjer/PhotosViewer
ghaydarov/dotvim	dotvim	True	http://github.com/ghaydarov/dotvim
thijschr/simulationSamplingStrategy	simulationsamplingstrategy	false	http://github.com/thijschr/simulationSamplingStrategy
evansneath/weather-bird	weather bird	false	http://github.com/evansneath/weather-bird
ippy04/dotenv	dotenv	false	http://github.com/ippy04/dotenv
caesarw320/SublimeTextMisc	sublime text misc	True	http://github.com/caesarw320/SublimeTextMisc
anroots/teensy-moonica	teensy moonica	false	http://github.com/anroots/teensy-moonica
forecho/sublime-text	sublime text	True	http://github.com/forecho/sublime-text
ralluri/sample-geolocation	sample geolocation	false	http://github.com/ralluri/sample-geolocation
ickymettle/ewma	ewma	false	http://github.com/ickymettle/ewma
Gaurav2728/assam	assam	false	http://github.com/Gaurav2728/assam
johnrays54/jquery-scrollspy	jquery scrollspy	false	http://github.com/johnrays54/jquery-scrollspy
Javex/seriesly	seriesly	false	http://github.com/Javex/seriesly
dulalchakrabarti/mcidasv	mcidasv	false	http://github.com/dulalchakrabarti/mcidasv
hugs/viewport	viewport	false	http://github.com/hugs/viewport
wilsonmichael/capistrano-puma	capistrano puma	false	http://github.com/wilsonmichael/capistrano-puma
sheep800828/GwtMobile-PhoneGap	gwt mobile phone gap	false	http://github.com/sheep800828/GwtMobile-PhoneGap
convexstyle/NewsReader	news reader	false	http://github.com/convexstyle/NewsReader
SnowBiz/Alloy-Kitchen-Sink	alloy kitchen sink	false	http://github.com/SnowBiz/Alloy-Kitchen-Sink
alaattinturyan/android-smart-image-view	android smart image view	false	http://github.com/alaattinturyan/android-smart-image-view
waffleboy81/GoodNewsEveryone	good news everyone	false	http://github.com/waffleboy81/GoodNewsEveryone
melinite/Video-Converter	video converter	false	http://github.com/melinite/Video-Converter
benrwallace/tinycon	tinycon	false	http://github.com/benrwallace/tinycon
silviorelli/omnicontacts	omnicontacts	false	http://github.com/silviorelli/omnicontacts
freethenation/MergeCsSource	merge cs source	false	http://github.com/freethenation/MergeCsSource
rturowicz/vim-startup	vim startup	True	http://github.com/rturowicz/vim-startup
ashier/python-samples	python samples	false	http://github.com/ashier/python-samples
attn1/android_device_htc_flyer	android device htc flyer	false	http://github.com/attn1/android_device_htc_flyer
eduardo324/sistema-de-helpdesk	sistema de helpdesk	false	http://github.com/eduardo324/sistema-de-helpdesk
millisami/chef-phpbb	chef phpbb	false	http://github.com/millisami/chef-phpbb
kk53327/PagerSlidingTabStrip	pager sliding tab strip	false	http://github.com/kk53327/PagerSlidingTabStrip
alfishe/context-blender	context blender	false	http://github.com/alfishe/context-blender
mauricio/UpdaterSample	updater sample	false	http://github.com/mauricio/UpdaterSample
Bamtau/platform_device_moto_wingray	platform device moto wingray	false	http://github.com/Bamtau/platform_device_moto_wingray
cagdasolgun/Rails-Login-Devise-Omniauth-Bundle	rails login devise omniauth bundle	false	http://github.com/cagdasolgun/Rails-Login-Devise-Omniauth-Bundle
fribeiro1/javaeesample-awselasticbeanstalk	javaeesample awselasticbeanstalk	false	http://github.com/fribeiro1/javaeesample-awselasticbeanstalk
rahulbhawsar/digitalconsumer	digitalconsumer	false	http://github.com/rahulbhawsar/digitalconsumer
guardianproject/keysync	keysync	false	http://github.com/guardianproject/keysync
jenshandersson/JALoadingView	j a loading view	false	http://github.com/jenshandersson/JALoadingView
joerodriguez/spring-static-html-view-resolver	spring static html view resolver	false	http://github.com/joerodriguez/spring-static-html-view-resolver
gerrybeia/ECSlidingViewController	e c sliding view controller	false	http://github.com/gerrybeia/ECSlidingViewController
dgrnbrg/nexys6-sample	nexys6 sample	false	http://github.com/dgrnbrg/nexys6-sample
auandy0701/Moviles	moviles	false	http://github.com/auandy0701/Moviles
overload955/Text-Editor-Visual-C--	text editor visual c	True	http://github.com/overload955/Text-Editor-Visual-C--
a-nai/sinatra-torrent	sinatra torrent	false	http://github.com/a-nai/sinatra-torrent
robbiej5/Sample-Project	sample project	false	http://github.com/robbiej5/Sample-Project
ehackman/sample_app	sample app	false	http://github.com/ehackman/sample_app
notyy/quartzSample	quartzsample	false	http://github.com/notyy/quartzSample
gandalf013/pandas	pandas	false	http://github.com/gandalf013/pandas
idael/idlToolsPlugin	idltoolsplugin	false	http://github.com/idael/idlToolsPlugin
leppert/html5-realtime-activity-streams	html5 realtime activity streams	false	http://github.com/leppert/html5-realtime-activity-streams
kidcad/SlidePanel	slide panel	false	http://github.com/kidcad/SlidePanel
tluolovembtan/afinal	afinal	false	http://github.com/tluolovembtan/afinal
titovisk/ubibuscars.ws	ubibuscars ws	false	http://github.com/titovisk/ubibuscars.ws
sweetdark/navi	navi	false	http://github.com/sweetdark/navi
donz2013/sample_com	sample com	false	http://github.com/donz2013/sample_com
hayashi311/ViewDeck	view deck	false	http://github.com/hayashi311/ViewDeck
dsewnr/eOS-OpenWithSublimeText	eos openwithsublimetext	True	http://github.com/dsewnr/eOS-OpenWithSublimeText
taylorhakes/sp-website	sp website	false	http://github.com/taylorhakes/sp-website
rahulvishwkarma/MMPDeepSleepPreventer	m m p deep sleep preventer	false	http://github.com/rahulvishwkarma/MMPDeepSleepPreventer
zhenaguo/carliv_touch_recovery	carliv touch recovery	false	http://github.com/zhenaguo/carliv_touch_recovery
EnTeQuAk/boto	boto	false	http://github.com/EnTeQuAk/boto
brandsExclusive/django-piston	django piston	false	http://github.com/brandsExclusive/django-piston
YzzerCom/jQuery-File-Upload	jquery file upload	false	http://github.com/YzzerCom/jQuery-File-Upload
luiszak91/sample_app	sample app	false	http://github.com/luiszak91/sample_app
apatil/RHive	r hive	false	http://github.com/apatil/RHive
henryjholmes/sample_app	sample app	false	http://github.com/henryjholmes/sample_app
rino3web/econobreja	econobreja	false	http://github.com/rino3web/econobreja
JunKikuchi/raws	raws	false	http://github.com/JunKikuchi/raws
asmita-vikas/Virtual-Memory-Simulation	virtual memory simulation	false	http://github.com/asmita-vikas/Virtual-Memory-Simulation
louis813/fakeredis	fakeredis	false	http://github.com/louis813/fakeredis
koppi/nanonoise	nanonoise	false	http://github.com/koppi/nanonoise
bgreenlee/vagrant	vagrant	false	http://github.com/bgreenlee/vagrant
jrherr/alignerviz	alignerviz	false	http://github.com/jrherr/alignerviz
licunbing/spring-hadoop-samples	spring hadoop samples	false	http://github.com/licunbing/spring-hadoop-samples
xiddw/emesene	emesene	false	http://github.com/xiddw/emesene
nolimits4web/MobileMeta.js	mobile meta	false	http://github.com/nolimits4web/MobileMeta.js
AsherBond/devstack	devstack	false	http://github.com/AsherBond/devstack
jaycee/vimfiles	vimfiles	True	http://github.com/jaycee/vimfiles
bidevetin/toby-travis-serial-killer	toby travis serial killer	false	http://github.com/bidevetin/toby-travis-serial-killer
534N/meteor-accounts-linkedin	meteor accounts linkedin	false	http://github.com/534N/meteor-accounts-linkedin
dilentec/7plus	7plus	false	http://github.com/dilentec/7plus
DashYang/Choose-Me	choose me	false	http://github.com/DashYang/Choose-Me
binhho/DMLazyScrollView	d m lazy scroll view	false	http://github.com/binhho/DMLazyScrollView
limless/WebView_Sample	web view sample	false	http://github.com/limless/WebView_Sample
mscriv/Sample_app	sample	false	http://github.com/mscriv/Sample_app
runemadsen/hammer	hammer	false	http://github.com/runemadsen/hammer
kcurtis106/Surviving-with-android	surviving	false	http://github.com/kcurtis106/Surviving-with-android
WeaponX1/android_device_samsung_d2lte	android device samsung d2lte	false	http://github.com/WeaponX1/android_device_samsung_d2lte
krywar/sample_app	sample app	false	http://github.com/krywar/sample_app
Henridv/crashme	crashme	false	http://github.com/Henridv/crashme
johnpt/SwipeToDismissNOA	swipe to dismiss n o a	false	http://github.com/johnpt/SwipeToDismissNOA
danjesus/dotfiles	dotfiles	false	http://github.com/danjesus/dotfiles
OliverJAsh/previewcode	previewcode	false	http://github.com/OliverJAsh/previewcode
iamareebjamal/sherlock_tabs_sample	sherlock tabs sample	false	http://github.com/iamareebjamal/sherlock_tabs_sample
zopefoundation/z3c.ptcompat	z3c ptcompat	false	http://github.com/zopefoundation/z3c.ptcompat
svend/emacs-password-store	emacs password store	True	http://github.com/svend/emacs-password-store
wp-plugins/vicomi-comment-system	vicomi comment system	True	http://github.com/wp-plugins/vicomi-comment-system
UnicornButter/device_samsung_tuna	device samsung tuna	false	http://github.com/UnicornButter/device_samsung_tuna
vsevolod/axlsx	axlsx	false	http://github.com/vsevolod/axlsx
aidenluo17/ADLivelyTableView	a d lively table view	false	http://github.com/aidenluo17/ADLivelyTableView
joshblum/tmdb	tmdb	false	http://github.com/joshblum/tmdb
kjhollen/greenhouse-samples	greenhouse samples	false	http://github.com/kjhollen/greenhouse-samples
kissifrot/Minecraft-Overviewer	minecraft overviewer	false	http://github.com/kissifrot/Minecraft-Overviewer
usutani/DTAttributedTextViewDemo	d t attributed text view demo	false	http://github.com/usutani/DTAttributedTextViewDemo
guxun/jquery-fullscreen-plugin	jquery fullscreen plugin	false	http://github.com/guxun/jquery-fullscreen-plugin
TShadwell/Viz	viz	false	http://github.com/TShadwell/Viz
BoBoTun/pico	pico	True	http://github.com/BoBoTun/pico
Yanjinping/fragment-project	fragment project	false	http://github.com/Yanjinping/fragment-project
guilhermecaldas/dooc	dooc	false	http://github.com/guilhermecaldas/dooc
jayjicheng/UIBubbleTableView	u i bubble table view	false	http://github.com/jayjicheng/UIBubbleTableView
Iresaki/sample_app	sample app	false	http://github.com/Iresaki/sample_app
HACKERSMIND/VIBGYOR-STUDENT-PROJECT	v i b g y o r s t u d e n t p r o j e c t	false	http://github.com/HACKERSMIND/VIBGYOR-STUDENT-PROJECT
kazukitanaka0611/GHUnitSample	g h unit sample	false	http://github.com/kazukitanaka0611/GHUnitSample
uniiverse/vagrant-ec2	vagrant ec2	false	http://github.com/uniiverse/vagrant-ec2
AkashSaikia/DemoRepo	demo repo	false	http://github.com/AkashSaikia/DemoRepo
tyre/sample_app	sample app	false	http://github.com/tyre/sample_app
richardbuckle/gitflow	gitflow	false	http://github.com/richardbuckle/gitflow
wwenigma-mgp/platform_vendor_lg	platform vendor lg	false	http://github.com/wwenigma-mgp/platform_vendor_lg
Juhl3s/hashtag-pull	hashtag pull	false	http://github.com/Juhl3s/hashtag-pull
drupaltr/datawrapper	datawrapper	false	http://github.com/drupaltr/datawrapper
kjorg50/coursera-android-activity-lab	coursera android activity lab	false	http://github.com/kjorg50/coursera-android-activity-lab
victor-o-silva/db_file_storage_demo	db file storage demo	false	http://github.com/victor-o-silva/db_file_storage_demo
hankwang/mokoid-nodejs-vcard	mokoid nodejs vcard	false	http://github.com/hankwang/mokoid-nodejs-vcard
paulmulcahy/MP3IDETagEditor	m p i d e tag editor	false	http://github.com/paulmulcahy/MP3IDETagEditor
libgraviton/codesniffer-ruleset-entb	codesniffer ruleset entb	false	http://github.com/libgraviton/codesniffer-ruleset-entb
paulkmoore/sfDoctrineRestGeneratorPlugin	sfdoctrinerestgeneratorplugin	false	http://github.com/paulkmoore/sfDoctrineRestGeneratorPlugin
haavardb/html5Preloader.js	html5preloader js	false	http://github.com/haavardb/html5Preloader.js
wangtongli/android_device_OPPO_R829T	android device oppo r t	false	http://github.com/wangtongli/android_device_OPPO_R829T
AlienX/jQuery.threesixty	jquery threesixty	false	http://github.com/AlienX/jQuery.threesixty
willbryant/table_display	table display	false	http://github.com/willbryant/table_display
cbowns/Graphs	graphs	false	http://github.com/cbowns/Graphs
willonboy/BlockAlertView	block alert view	false	http://github.com/willonboy/BlockAlertView
realjunlin/dubbo	dubbo	false	http://github.com/realjunlin/dubbo
SamPortnow/paco	paco	false	http://github.com/SamPortnow/paco
aaloksinghvi/Overherd	overherd	false	http://github.com/aaloksinghvi/Overherd
icella/sublimetext_indentxml	sublimetext indentxml	True	http://github.com/icella/sublimetext_indentxml
dividehex/carbon	carbon	false	http://github.com/dividehex/carbon
rmoorman/mayan	mayan	false	http://github.com/rmoorman/mayan
lion0738/android_packages_services_Telephony	android packages services telephony	false	http://github.com/lion0738/android_packages_services_Telephony
zyro23/grails-class-diagram	grails class diagram	false	http://github.com/zyro23/grails-class-diagram
akwright/compass	compass	false	http://github.com/akwright/compass
AtomStar/Razor.ServiceStack-On-Azure	razor service stack on azure	false	http://github.com/AtomStar/Razor.ServiceStack-On-Azure
id774/sandbox	sandbox	false	http://github.com/id774/sandbox
rNavarrete/rails3-bootstrap-devise-cancan	rails3 bootstrap devise cancan	false	http://github.com/rNavarrete/rails3-bootstrap-devise-cancan
Nagogus/Front-end-Developer-Interview-Questions	front developer interview questions	false	http://github.com/Nagogus/Front-end-Developer-Interview-Questions
neetukaushish/VideoSearch	video search	false	http://github.com/neetukaushish/VideoSearch
monkeytools/android_device_samsung_n8013	android device samsung n 	false	http://github.com/monkeytools/android_device_samsung_n8013
dannyp32/dotfiles	dotfiles	false	http://github.com/dannyp32/dotfiles
sguha00/kindlegen	kindlegen	false	http://github.com/sguha00/kindlegen
sajimon/avrdude-osd	avrdude osd	false	http://github.com/sajimon/avrdude-osd
erichare/pelica	pelica	false	http://github.com/erichare/pelica
SebPolytech/uidevice-extension	uidevice extension	false	http://github.com/SebPolytech/uidevice-extension
mertdumenci/SAMCategories	s a m categories	false	http://github.com/mertdumenci/SAMCategories
userdelroot/android_device_motorola_sholes	android device motorola sholes	false	http://github.com/userdelroot/android_device_motorola_sholes
iScian/FloatWindowView	float window view	false	http://github.com/iScian/FloatWindowView
johndavid400/spree_suppliers	spree suppliers	false	http://github.com/johndavid400/spree_suppliers
menio/PhotoView	photo view	false	http://github.com/menio/PhotoView
jaberelmazini/ViewModel	view model	false	http://github.com/jaberelmazini/ViewModel
asine/Gimela	gimela	false	http://github.com/asine/Gimela
mtedwards/foundation-1	foundation 1	false	http://github.com/mtedwards/foundation-1
mekentosj/osxfuse	osxfuse	false	http://github.com/mekentosj/osxfuse
MainStarter2013/Starts-LoveGrowing	starts love growing	false	http://github.com/MainStarter2013/Starts-LoveGrowing
mazniak/virtus	virtus	false	http://github.com/mazniak/virtus
akramhussein/visco	visco	false	http://github.com/akramhussein/visco
anovitsky/django-selectable	django selectable	false	http://github.com/anovitsky/django-selectable
skaterdav85/gulp-javascript-build-demo	gulp javascript build demo	false	http://github.com/skaterdav85/gulp-javascript-build-demo
gledson-dataasservice/bootstrap-datetimepicker-1	bootstrap datetimepicker 1	false	http://github.com/gledson-dataasservice/bootstrap-datetimepicker-1
kodekarnage/lyrics_mod	lyrics mod	false	http://github.com/kodekarnage/lyrics_mod
