,is_databases,repo,terms,url
36,True,romainbossart/node-sqlite3,node sqlite3,http://github.com/romainbossart/node-sqlite3
37,True,cluelesswalnut/MarkusErnstMH2,markus ernst m h,http://github.com/cluelesswalnut/MarkusErnstMH2
38,True,caroledesma/cinema-titanium,cinema titanium,http://github.com/caroledesma/cinema-titanium
39,True,mallorymegan1984/elasticsearch-rails,elasticsearch rails,http://github.com/mallorymegan1984/elasticsearch-rails
40,True,viniciusccarvalho/elasticsearch-client,elasticsearch client,http://github.com/viniciusccarvalho/elasticsearch-client
41,True,aaraujo/hbase,hbase,http://github.com/aaraujo/hbase
42,True,karussell/ElasticSearch4Android,elastic search android,http://github.com/karussell/ElasticSearch4Android
43,True,echokilo1/ycsb-memcached,ycsb memcached,http://github.com/echokilo1/ycsb-memcached
44,True,dpayonk/hive-fdw-for-postgresql,hive fdw for postgresql,http://github.com/dpayonk/hive-fdw-for-postgresql
45,True,vincentshi/speech2text,speech2text,http://github.com/vincentshi/speech2text
46,True,svewag/js.mysql,js mysql,http://github.com/svewag/js.mysql
47,True,harayz/accumulo,accumulo,http://github.com/harayz/accumulo
48,True,kgreenpea/d3-radialbar,d3 radialbar,http://github.com/kgreenpea/d3-radialbar
49,True,ProjectMeniscus/cookbook-elasticsearch,cookbook elasticsearch,http://github.com/ProjectMeniscus/cookbook-elasticsearch
50,True,7ja4-dlm/seer-oracle,seer oracle,http://github.com/7ja4-dlm/seer-oracle
51,True,johnsimons/ravendb,ravendb,http://github.com/johnsimons/ravendb
52,True,pradeepg26/accumulo-pig,accumulo pig,http://github.com/pradeepg26/accumulo-pig
53,True,damirkusar/JGroups-InfiniSpan,j groups infini span,http://github.com/damirkusar/JGroups-InfiniSpan
54,True,josephwhitaker/forrentTitaniumSearchHookin,forrenttitaniumsearchhookin,http://github.com/josephwhitaker/forrentTitaniumSearchHookin
55,True,captainchung/d3,d3,http://github.com/captainchung/d3
56,True,RoyRui/cf-mysql-broker,cf mysql broker,http://github.com/RoyRui/cf-mysql-broker
57,True,andrespena/cassandra-log4j-appender,cassandra log4j appender,http://github.com/andrespena/cassandra-log4j-appender
58,True,batok/scalaris-mirror,scalaris mirror,http://github.com/batok/scalaris-mirror
59,True,davetaz/d3-cartogram,d3 cartogram,http://github.com/davetaz/d3-cartogram
60,True,aritratony/elasticsearch-river-csv,elasticsearch river csv,http://github.com/aritratony/elasticsearch-river-csv
61,True,Puppet-Finland/postgresql,postgresql,http://github.com/Puppet-Finland/postgresql
62,True,lzw978/memcached,memcached,http://github.com/lzw978/memcached
63,True,ryanharkins/mysql-php-backup,mysql php backup,http://github.com/ryanharkins/mysql-php-backup
64,True,alinpopa/riak_kv,riak kv,http://github.com/alinpopa/riak_kv
65,True,Yazalim/node-oauth2-server,node oauth2 server,http://github.com/Yazalim/node-oauth2-server
66,True,monde/ultrasphinx,ultrasphinx,http://github.com/monde/ultrasphinx
67,True,strathausen/colour-mysql-console,colour mysql console,http://github.com/strathausen/colour-mysql-console
68,True,dbrazhnikov/d3-tip,d3 tip,http://github.com/dbrazhnikov/d3-tip
69,True,will45780/nvd3,nvd3,http://github.com/will45780/nvd3
70,True,alexlavr/node-mongodb-native,node mongodb native,http://github.com/alexlavr/node-mongodb-native
71,True,snjoetw/cassandra,cassandra,http://github.com/snjoetw/cassandra
72,True,pombredanne/pyelasticsearch,pyelasticsearch,http://github.com/pombredanne/pyelasticsearch
73,True,zshao/hive,hive,http://github.com/zshao/hive
74,True,MirkoRossini/django-redis-engine,django redis engine,http://github.com/MirkoRossini/django-redis-engine
75,True,changhu2013/oracleddlparser,oracleddlparser,http://github.com/changhu2013/oracleddlparser
76,True,PsypherPunk/python-webarchive-fuse,python webarchive fuse,http://github.com/PsypherPunk/python-webarchive-fuse
77,True,bpaquet/ngx_http_enhanced_memcached_module,ngx http enhanced memcached module,http://github.com/bpaquet/ngx_http_enhanced_memcached_module
78,True,petergoldstein/compass-rails,compass rails,http://github.com/petergoldstein/compass-rails
79,True,AnarchyMob/Vertical-SeekBar-Android,vertical seek bar android,http://github.com/AnarchyMob/Vertical-SeekBar-Android
80,True,Sw33t3r/p1ramyd3,p1ramyd3,http://github.com/Sw33t3r/p1ramyd3
81,True,almasry/memcached,memcached,http://github.com/almasry/memcached
82,True,billywatson/hbase-jruby,hbase jruby,http://github.com/billywatson/hbase-jruby
83,True,Ningning-Xia/elasticsearch,elasticsearch,http://github.com/Ningning-Xia/elasticsearch
84,True,egraldlo/Claims,claims,http://github.com/egraldlo/Claims
85,True,leopic/compass,compass,http://github.com/leopic/compass
86,True,oki/redis-cookbook,redis cookbook,http://github.com/oki/redis-cookbook
87,True,arubalcaba/Redis-Java-Sample,redis java sample,http://github.com/arubalcaba/Redis-Java-Sample
88,True,pospischil/redis-rb,redis rb,http://github.com/pospischil/redis-rb
89,True,adisetiawan/the-little-mongodb-book,the little mongodb book,http://github.com/adisetiawan/the-little-mongodb-book
90,True,sairion/d3gl,d3gl,http://github.com/sairion/d3gl
91,True,bitonic/zip-archive,zip archive,http://github.com/bitonic/zip-archive
92,True,4things/ForthingsCouchDB,forthings couch d b,http://github.com/4things/ForthingsCouchDB
93,True,mozilla-it/puppet-mysql,puppet mysql,http://github.com/mozilla-it/puppet-mysql
94,True,manolenso/compass-recipes,compass recipes,http://github.com/manolenso/compass-recipes
95,True,AdeptMarketing/compassion-drupal,compassion drupal,http://github.com/AdeptMarketing/compassion-drupal
96,True,BenHall/memcached101,memcached ,http://github.com/BenHall/memcached101
97,True,zzzkinger/redis,redis,http://github.com/zzzkinger/redis
98,True,helllamer/riak_function_contrib,riak function contrib,http://github.com/helllamer/riak_function_contrib
99,True,wojons/php-elasticSearch,php elasticsearch,http://github.com/wojons/php-elasticSearch
100,True,dineshkummarc/addressbook-sample-mongodb,addressbook sample mongodb,http://github.com/dineshkummarc/addressbook-sample-mongodb
101,True,cvent/ServiceStack.Redis,service stack redis,http://github.com/cvent/ServiceStack.Redis
102,True,hongbin-hsu/phpredis,phpredis,http://github.com/hongbin-hsu/phpredis
103,True,kaosdynamics/ssl-phpredis,ssl phpredis,http://github.com/kaosdynamics/ssl-phpredis
104,True,samuelchen/redis,redis,http://github.com/samuelchen/redis
105,True,latompa/clj-redis,clj redis,http://github.com/latompa/clj-redis
106,True,graphaware/neo4j-imperial,neo4j imperial,http://github.com/graphaware/neo4j-imperial
107,True,pvorb/oauth2orize,oauth2orize,http://github.com/pvorb/oauth2orize
108,True,jedborovik/cims,cims,http://github.com/jedborovik/cims
109,True,matthewdunn/springrest-angularjs,springrest angularjs,http://github.com/matthewdunn/springrest-angularjs
110,True,patrickangeles/hbase,hbase,http://github.com/patrickangeles/hbase
111,True,smorin/hive-orc-mr,hive orc mr,http://github.com/smorin/hive-orc-mr
112,True,purplecow/autocomplete-redis,autocomplete redis,http://github.com/purplecow/autocomplete-redis
113,True,jhsbeat/incubator-tajo,incubator tajo,http://github.com/jhsbeat/incubator-tajo
114,True,yoshiya0503/redis-in-action,redis in action,http://github.com/yoshiya0503/redis-in-action
115,True,dfdeshom/solr-loganalyzer,solr loganalyzer,http://github.com/dfdeshom/solr-loganalyzer
116,True,jorgenj/compass,compass,http://github.com/jorgenj/compass
117,True,dawanda/redis-doc,redis doc,http://github.com/dawanda/redis-doc
118,True,SpencerSharkey/PHP-MySQLi-Database-Class,p h p my s q li database class,http://github.com/SpencerSharkey/PHP-MySQLi-Database-Class
119,True,martinfilliau/solr-loganalyzer,solr loganalyzer,http://github.com/martinfilliau/solr-loganalyzer
120,True,GustavoARod/PHP_MySQL_Essential_Training,p h p my s q l essential training,http://github.com/GustavoARod/PHP_MySQL_Essential_Training
121,True,MentorEmbedded/splunkstorm,splunkstorm,http://github.com/MentorEmbedded/splunkstorm
122,True,bos/HandlerSocket-Plugin-for-MySQL,handler socket plugin my s q l,http://github.com/bos/HandlerSocket-Plugin-for-MySQL
123,True,infopark/vendor_apache-solr,vendor apache solr,http://github.com/infopark/vendor_apache-solr
124,True,denisboyun/bioperl-db2,bioperl db2,http://github.com/denisboyun/bioperl-db2
125,True,elasticsearch/elasticsearch,elasticsearch,http://github.com/elasticsearch/elasticsearch
126,True,fmarier/browserid_couchdb,browserid couchdb,http://github.com/fmarier/browserid_couchdb
127,True,cordoval/MongoDBAclBundle,mongo d b acl bundle,http://github.com/cordoval/MongoDBAclBundle
128,True,tizoc/redis,redis,http://github.com/tizoc/redis
129,True,Orkeren/iOS-Ingress,ios ingress,http://github.com/Orkeren/iOS-Ingress
130,True,CLVsol/tk-openerp7-on-postgresql,tk openerp7 on postgresql,http://github.com/CLVsol/tk-openerp7-on-postgresql
131,True,inohiro/jena,jena,http://github.com/inohiro/jena
132,True,clue/redisent,redisent,http://github.com/clue/redisent
133,True,wziwen/qimsel,qimsel,http://github.com/wziwen/qimsel
134,True,simpsonjulian/neo4j-community,neo4j community,http://github.com/simpsonjulian/neo4j-community
135,True,jrpereira/mongodb-odm,mongodb odm,http://github.com/jrpereira/mongodb-odm
136,True,strategist922/hbasedao,hbasedao,http://github.com/strategist922/hbasedao
137,True,turbohappy/hazelcast,hazelcast,http://github.com/turbohappy/hazelcast
138,True,kyleconroy/python-oauth2,python oauth2,http://github.com/kyleconroy/python-oauth2
139,True,shalashtein/ingress-notify,ingress notify,http://github.com/shalashtein/ingress-notify
140,True,henrytao-me/d3-geo-projection,d3 geo projection,http://github.com/henrytao-me/d3-geo-projection
141,True,andever/Android-ViewPagerIndicator,android view pager indicator,http://github.com/andever/Android-ViewPagerIndicator
142,True,dolfly/RedisLive,redis live,http://github.com/dolfly/RedisLive
143,True,bhohbaum/redis,redis,http://github.com/bhohbaum/redis
144,True,dpp/riak,riak,http://github.com/dpp/riak
145,True,PochenkO/python-oauth2,python oauth2,http://github.com/PochenkO/python-oauth2
146,True,katta/riakcli,riakcli,http://github.com/katta/riakcli
147,True,BlueRival/node-tokumx-native,node tokumx native,http://github.com/BlueRival/node-tokumx-native
148,True,jimneath/ey-memcached-util,ey memcached util,http://github.com/jimneath/ey-memcached-util
149,True,zhangmx/phpredis,phpredis,http://github.com/zhangmx/phpredis
150,True,clojurewerkz/titanium,titanium,http://github.com/clojurewerkz/titanium
151,True,dsiu/sproutcore-couchdb,sproutcore couchdb,http://github.com/dsiu/sproutcore-couchdb
152,True,kibork/Oracle-Patch-Manager,oracle patch manager,http://github.com/kibork/Oracle-Patch-Manager
153,True,omryike/jade,jade,http://github.com/omryike/jade
154,True,wuaschtikus/Android-ViewPagerIndicator,android view pager indicator,http://github.com/wuaschtikus/Android-ViewPagerIndicator
155,True,georgebashi/redis,redis,http://github.com/georgebashi/redis
156,True,wez/connect-riak,connect riak,http://github.com/wez/connect-riak
157,True,renasboy/php-mysql-micro-framework,php mysql micro framework,http://github.com/renasboy/php-mysql-micro-framework
158,True,gerald-lindsly/rmongodb,rmongodb,http://github.com/gerald-lindsly/rmongodb
159,True,widyamedia/mysqlmultislave-on-dotcloud,mysqlmultislave on dotcloud,http://github.com/widyamedia/mysqlmultislave-on-dotcloud
160,True,socialinsider/redis-persistence,redis persistence,http://github.com/socialinsider/redis-persistence
161,True,strategist922/HiveHistoryParser,hive history parser,http://github.com/strategist922/HiveHistoryParser
162,True,balados85/ClaimSync--Emmanuel-UI,claim sync emmanuel u i,http://github.com/balados85/ClaimSync--Emmanuel-UI
163,True,CAA0558/Cordova-SQLitePlugin,cordova s q lite plugin,http://github.com/CAA0558/Cordova-SQLitePlugin
164,True,prashant31191/ingress-intel-total-conversion,ingress intel total conversion,http://github.com/prashant31191/ingress-intel-total-conversion
165,True,fly9i/nodejs-mysql-native,nodejs mysql native,http://github.com/fly9i/nodejs-mysql-native
166,True,wpli/csv2sqlite,csv2sqlite,http://github.com/wpli/csv2sqlite
167,True,adamdburton/pointshop-mysql,pointshop mysql,http://github.com/adamdburton/pointshop-mysql
168,True,MarkTseng/kdbus,kdbus,http://github.com/MarkTseng/kdbus
169,True,berlincount/cteward-st-sqlite,cteward st sqlite,http://github.com/berlincount/cteward-st-sqlite
170,True,luisartola/d3,d3,http://github.com/luisartola/d3
171,True,sven-m/vimsettings,vimsettings,http://github.com/sven-m/vimsettings
172,True,skuanr/redis-storage,redis storage,http://github.com/skuanr/redis-storage
173,True,sakudryavtsev/neo4j-scala,neo4j scala,http://github.com/sakudryavtsev/neo4j-scala
174,True,ChinggizKhan/compass-warning,compass warning,http://github.com/ChinggizKhan/compass-warning
175,True,poojarajanna/tetris-d3,tetris d3,http://github.com/poojarajanna/tetris-d3
176,True,jsr/mongodb-workload-generator,mongodb workload generator,http://github.com/jsr/mongodb-workload-generator
177,True,ujwaltrivedi/predis,predis,http://github.com/ujwaltrivedi/predis
178,True,SpaceManiac/EggTimer,egg timer,http://github.com/SpaceManiac/EggTimer
179,True,shaofan/mysql,mysql,http://github.com/shaofan/mysql
180,True,balanceit/IMS,i m s,http://github.com/balanceit/IMS
181,True,sauron/test-rocket-tag-solr-foreman,test rocket tag solr foreman,http://github.com/sauron/test-rocket-tag-solr-foreman
182,True,nw/node-mongodb,node mongodb,http://github.com/nw/node-mongodb
183,True,popuparchive/developer-popuparchive,developer popuparchive,http://github.com/popuparchive/developer-popuparchive
184,True,sgopalan/jena-scala,jena scala,http://github.com/sgopalan/jena-scala
185,True,stonega/ingress-intel-total-conversion,ingress intel total conversion,http://github.com/stonega/ingress-intel-total-conversion
186,True,sendyputra/MySQLTuner-perl,my s q l tuner,http://github.com/sendyputra/MySQLTuner-perl
187,True,hivemq/hivemq-mqtt-web-client,hivemq mqtt web client,http://github.com/hivemq/hivemq-mqtt-web-client
188,True,henrytao-me/d3js,d3js,http://github.com/henrytao-me/d3js
189,True,manoj97738/Redis-window-7-executable,redis,http://github.com/manoj97738/Redis-window-7-executable
190,True,Mikolaj23/Zad3,zad,http://github.com/Mikolaj23/Zad3
191,True,matsubo/redis-ranking,redis ranking,http://github.com/matsubo/redis-ranking
192,True,saratovsource/zabbixapi,zabbixapi,http://github.com/saratovsource/zabbixapi
193,True,xsleonard/flask-sphinx-themes,flask sphinx themes,http://github.com/xsleonard/flask-sphinx-themes
194,True,chris-teague/nvd3,nvd3,http://github.com/chris-teague/nvd3
195,True,titi3625/TP6_PostGreSql,t p post gre sql,http://github.com/titi3625/TP6_PostGreSql
196,True,jaredtmartin/jade,jade,http://github.com/jaredtmartin/jade
197,True,vim-scripts/tcl_sqlite.vim,tcl sqlite vim,http://github.com/vim-scripts/tcl_sqlite.vim
198,True,junqing124/mongodb_cn,mongodb cn,http://github.com/junqing124/mongodb_cn
199,True,cwdoh/d3,d3,http://github.com/cwdoh/d3
200,True,mltsy/redis-rb,redis rb,http://github.com/mltsy/redis-rb
201,True,Topface/php-memcached,php memcached,http://github.com/Topface/php-memcached
202,True,gijs/r2d3,r2d3,http://github.com/gijs/r2d3
203,True,Cenadar/facultyarchive,facultyarchive,http://github.com/Cenadar/facultyarchive
204,True,vmakhaev/derby-examples,derby examples,http://github.com/vmakhaev/derby-examples
205,True,scalp42/redisio,redisio,http://github.com/scalp42/redisio
206,True,tongping/memcached-llvm,memcached llvm,http://github.com/tongping/memcached-llvm
207,True,CMGS/PyMySQL,py my s q l,http://github.com/CMGS/PyMySQL
208,True,yureshwar/YiiSolr,yii solr,http://github.com/yureshwar/YiiSolr
209,True,javier1981/hbase-loader,hbase loader,http://github.com/javier1981/hbase-loader
210,True,parnyukt/node-meteor-angular-d3-sample,node meteor angular d3 sample,http://github.com/parnyukt/node-meteor-angular-d3-sample
211,True,samwilson/email_archiver,email archiver,http://github.com/samwilson/email_archiver
212,True,ChangYoonJai/Android-ViewPagerIndicator,android view pager indicator,http://github.com/ChangYoonJai/Android-ViewPagerIndicator
213,True,adamggg/elasticsearch,elasticsearch,http://github.com/adamggg/elasticsearch
214,True,ThomasSchytzler/tddd36.projekt.grupp3,tddd  projekt grupp3,http://github.com/ThomasSchytzler/tddd36.projekt.grupp3
215,True,markjacob/nvd3,nvd3,http://github.com/markjacob/nvd3
216,True,jetrois/otwarchive,otwarchive,http://github.com/jetrois/otwarchive
217,True,Shadowrunner/Beehive,beehive,http://github.com/Shadowrunner/Beehive
218,True,apatil/RHive,r hive,http://github.com/apatil/RHive
219,True,fraynie/SolrNetSample,solr net sample,http://github.com/fraynie/SolrNetSample
220,True,guw/lucene-solr,lucene solr,http://github.com/guw/lucene-solr
221,True,briankassouf/redis-pool,redis pool,http://github.com/briankassouf/redis-pool
222,True,aphillipo/compass,compass,http://github.com/aphillipo/compass
223,True,amccague/travel-time-tube-d3,travel time tube d3,http://github.com/amccague/travel-time-tube-d3
224,True,iyogeshjoshi/d3,d3,http://github.com/iyogeshjoshi/d3
225,True,avdgrinten/d3b,d3b,http://github.com/avdgrinten/d3b
226,True,mz026/mysql_dumper,mysql dumper,http://github.com/mz026/mysql_dumper
227,True,dhavalsdoshi/jade4j,jade4j,http://github.com/dhavalsdoshi/jade4j
228,True,shivamsbansal/IMS_mysql,i m s,http://github.com/shivamsbansal/IMS_mysql
229,True,Reregistered/derby,derby,http://github.com/Reregistered/derby
230,True,kxbmap/scalikejdbc,scalikejdbc,http://github.com/kxbmap/scalikejdbc
231,True,lukecampbell/elasticsearch-river-couchdb,elasticsearch river couchdb,http://github.com/lukecampbell/elasticsearch-river-couchdb
232,True,endeepak/neo4j-observers-example,neo4j observers example,http://github.com/endeepak/neo4j-observers-example
233,True,ben-nicoll/Advanced-Titanium-Tutorial---Bonjour-Networking,advanced titanium tutorial bonjour networking,http://github.com/ben-nicoll/Advanced-Titanium-Tutorial---Bonjour-Networking
234,True,agorman/p5-test-mysqld,p5 test mysqld,http://github.com/agorman/p5-test-mysqld
235,True,lujameva/play-solrj,play solrj,http://github.com/lujameva/play-solrj
236,True,chico/example-oauth2orize-consumer,example oauth2orize consumer,http://github.com/chico/example-oauth2orize-consumer
237,True,gitson/Neo4jTest1,neo test,http://github.com/gitson/Neo4jTest1
238,True,Alex201310/Cassandra-Research,cassandra research,http://github.com/Alex201310/Cassandra-Research
239,True,tomyboy2/titanium_modules,titanium modules,http://github.com/tomyboy2/titanium_modules
240,True,G-Node/gnode-sphinx-themes,gnode sphinx themes,http://github.com/G-Node/gnode-sphinx-themes
241,True,pausz/mpld3,mpld3,http://github.com/pausz/mpld3
242,True,DogBitesMe/d3,d3,http://github.com/DogBitesMe/d3
243,True,sgardner/dm-sphinx-adapter,dm sphinx adapter,http://github.com/sgardner/dm-sphinx-adapter
244,True,web-education/mod-neo4j-persistor,mod neo4j persistor,http://github.com/web-education/mod-neo4j-persistor
245,True,TiberiuGal/memcached4d,memcached4d,http://github.com/TiberiuGal/memcached4d
246,True,MyasnoyShar/esqlite3,esqlite3,http://github.com/MyasnoyShar/esqlite3
247,True,alexdl/hbase,hbase,http://github.com/alexdl/hbase
248,True,bartv/imp-elasticsearch,imp elasticsearch,http://github.com/bartv/imp-elasticsearch
249,True,jadz/codeigniter-mongodb-library,codeigniter mongodb library,http://github.com/jadz/codeigniter-mongodb-library
250,True,ios4u/FRD3DBarChart,f r d d bar chart,http://github.com/ios4u/FRD3DBarChart
251,True,dvijayak/pilgrimsite,pilgrimsite,http://github.com/dvijayak/pilgrimsite
252,True,LeeKemp/node-elasticsearch-client,node elasticsearch client,http://github.com/LeeKemp/node-elasticsearch-client
253,True,presto53/elasticsearch-ruby,elasticsearch ruby,http://github.com/presto53/elasticsearch-ruby
254,True,TSWebTek/puppet-neo4j,puppet neo4j,http://github.com/TSWebTek/puppet-neo4j
255,True,iancarpenter/ORACLE_FILE_WATCHER_WINDOWS_DEMO,o r a c l e f i l e w a t c h e r w i n d o w s d e m o,http://github.com/iancarpenter/ORACLE_FILE_WATCHER_WINDOWS_DEMO
256,True,spali/puppet-mysql,puppet mysql,http://github.com/spali/puppet-mysql
257,True,billdueber/solrquery,solrquery,http://github.com/billdueber/solrquery
258,True,CristianOliveiraDaRosa/FormsOracleAnalyzerLib,forms oracle analyzer lib,http://github.com/CristianOliveiraDaRosa/FormsOracleAnalyzerLib
259,True,Owned67/MySQL_Ban,my s q l ban,http://github.com/Owned67/MySQL_Ban
260,True,roblevintennis/heroku-buildpack-nodejs-grunt-compass,heroku buildpack nodejs grunt compass,http://github.com/roblevintennis/heroku-buildpack-nodejs-grunt-compass
261,True,jwilf/newrelic-mongodb-agent-chef,newrelic mongodb agent chef,http://github.com/jwilf/newrelic-mongodb-agent-chef
262,True,proper337/txRedis,txredis,http://github.com/proper337/txRedis
263,True,dupuchba/angular-d3-directives,angular d3 directives,http://github.com/dupuchba/angular-d3-directives
264,True,nabgingreso/nabgingreso,nabgingreso,http://github.com/nabgingreso/nabgingreso
265,True,tungol/archiveteam-autorunner,archiveteam autorunner,http://github.com/tungol/archiveteam-autorunner
266,True,dpanah/python-oauth2,python oauth2,http://github.com/dpanah/python-oauth2
267,True,urknall/slimserver,slimserver,http://github.com/urknall/slimserver
268,True,gorbeia/mongodb-rest,mongodb rest,http://github.com/gorbeia/mongodb-rest
269,True,arjan/esqlite,esqlite,http://github.com/arjan/esqlite
270,True,miketheman/opscode-mysql,opscode mysql,http://github.com/miketheman/opscode-mysql
271,True,ssoper/jquery-vertical-scroll,jquery vertical scroll,http://github.com/ssoper/jquery-vertical-scroll
272,True,chenld/RedisManager,redis manager,http://github.com/chenld/RedisManager
273,True,coryasilva/BIMserver,b i mserver,http://github.com/coryasilva/BIMserver
274,True,vampelf/php-couchbase,php couchbase,http://github.com/vampelf/php-couchbase
275,True,mkoistinen/check_mysql_replication,check mysql replication,http://github.com/mkoistinen/check_mysql_replication
276,True,sadwxqezc/ancachedDemo,ancacheddemo,http://github.com/sadwxqezc/ancachedDemo
277,True,lalford/elasticsearch-river-rabbitmq,elasticsearch river rabbitmq,http://github.com/lalford/elasticsearch-river-rabbitmq
278,True,Inconditus/nvd3,nvd3,http://github.com/Inconditus/nvd3
279,True,anoopsinha/solr-node-sample,solr node sample,http://github.com/anoopsinha/solr-node-sample
280,True,mindinpanic/postgresql_book,postgresql book,http://github.com/mindinpanic/postgresql_book
281,True,bluesnowman/php-mysql-master-slave-replication-monitor,php mysql master slave replication monitor,http://github.com/bluesnowman/php-mysql-master-slave-replication-monitor
282,True,jaizone/rethinkdb,rethinkdb,http://github.com/jaizone/rethinkdb
283,True,djun100/Compass,compass,http://github.com/djun100/Compass
284,True,victorrubel/oauth2orize,oauth2orize,http://github.com/victorrubel/oauth2orize
285,True,stevenrskelton/d3-datamaps,d3 datamaps,http://github.com/stevenrskelton/d3-datamaps
286,True,ryansmc/d3-cookbook,d3 cookbook,http://github.com/ryansmc/d3-cookbook
287,True,yadevteam/mongoid-sphinx,mongoid sphinx,http://github.com/yadevteam/mongoid-sphinx
288,True,titanas67/titanas,titanas,http://github.com/titanas67/titanas
289,True,Aquasys/django-sphinx-autodoc,django sphinx autodoc,http://github.com/Aquasys/django-sphinx-autodoc
290,True,ninetian/php-leveldb,php leveldb,http://github.com/ninetian/php-leveldb
291,True,kapsonic/modeshape,modeshape,http://github.com/kapsonic/modeshape
292,True,coderaiser/minify-archive,minify archive,http://github.com/coderaiser/minify-archive
293,True,orend/redis-objects,redis objects,http://github.com/orend/redis-objects
294,True,chuyeow/redis-rb,redis rb,http://github.com/chuyeow/redis-rb
295,True,GHMagar/Titanium_Test,titanium test,http://github.com/GHMagar/Titanium_Test
296,True,pstaender/node-neo4j,node neo4j,http://github.com/pstaender/node-neo4j
297,True,h2non/grunt-contrib-jade,grunt contrib jade,http://github.com/h2non/grunt-contrib-jade
298,True,pombredanne/cassandra-dns,cassandra dns,http://github.com/pombredanne/cassandra-dns
299,True,nathanmoon/aws_dynamodb_local,aws dynamodb local,http://github.com/nathanmoon/aws_dynamodb_local
300,True,dopira/f.lux-indicator-applet,f lux indicator applet,http://github.com/dopira/f.lux-indicator-applet
301,True,SherozKarimov/kphp-kdb,kphp kdb,http://github.com/SherozKarimov/kphp-kdb
302,True,sourishkrout/python-oauth2,python oauth2,http://github.com/sourishkrout/python-oauth2
303,True,CSSE490-Android-Development/SQLite-ScoreApp,s q lite score app,http://github.com/CSSE490-Android-Development/SQLite-ScoreApp
304,True,noben/AndroidPocketSphinx,android pocket sphinx,http://github.com/noben/AndroidPocketSphinx
305,True,jigarmaheshwari/Titanium-AR,titanium a r,http://github.com/jigarmaheshwari/Titanium-AR
