is_editors,repo,terms,url
True,swee17hp/sample_app,sample app,http://github.com/swee17hp/sample_app
True,xinchin/favicon-cheat-sheet,favicon cheat sheet,http://github.com/xinchin/favicon-cheat-sheet
True,thecollective/android_kernel_samsung_smdk4210,android kernel samsung smdk ,http://github.com/thecollective/android_kernel_samsung_smdk4210
True,daviddumon/moteur-v4,moteur v4,http://github.com/daviddumon/moteur-v4
True,jackpf/halo4servicerecord,halo4servicerecord,http://github.com/jackpf/halo4servicerecord
True,cytoscape/cytoscape.js-navigator,cytoscape js navigator,http://github.com/cytoscape/cytoscape.js-navigator
True,bilderbastler/video-filter-processor,video filter processor,http://github.com/bilderbastler/video-filter-processor
True,mfsi-avisheks/sequelize,sequelize,http://github.com/mfsi-avisheks/sequelize
True,cicloid/devise_uid,devise uid,http://github.com/cicloid/devise_uid
True,bobbyjoe93/clubs,clubs,http://github.com/bobbyjoe93/clubs
True,vicenteforever/laravel,laravel,http://github.com/vicenteforever/laravel
True,groverz/webvirtmgr,webvirtmgr,http://github.com/groverz/webvirtmgr
True,zhangda89/vim-colors-solarized,vim colors solarized,http://github.com/zhangda89/vim-colors-solarized
True,gavinballard/css3-github-buttons,css3 github buttons,http://github.com/gavinballard/css3-github-buttons
True,eduardovilha/abre,abre,http://github.com/eduardovilha/abre
True,leominov/passbox,passbox,http://github.com/leominov/passbox
True,ravipatipushkar/openmrs-core,openmrs core,http://github.com/ravipatipushkar/openmrs-core
True,changguanghua/pprevealsideviewcontroller,pprevealsideviewcontroller,http://github.com/changguanghua/pprevealsideviewcontroller
True,melvin04/advancedwebcomputing,advancedwebcomputing,http://github.com/melvin04/advancedwebcomputing
True,haobug/taglist.vim,taglist vim,http://github.com/haobug/taglist.vim
True,asynchrony/devise,devise,http://github.com/asynchrony/devise
True,avit/avit.github.com,avit github com,http://github.com/avit/avit.github.com
True,fusco/ckeditor_filemanager,ckeditor filemanager,http://github.com/fusco/ckeditor_filemanager
True,noqqe/nano-bash,nano bash,http://github.com/noqqe/nano-bash
True,rodrigoavila/petregistration,petregistration,http://github.com/rodrigoavila/petregistration
True,dashboard-x/servicestack.examples,servicestack examples,http://github.com/dashboard-x/servicestack.examples
True,michaelkubovic/afg,afg,http://github.com/michaelkubovic/afg
True,deivisonarthur/magentostudyguide.com,magentostudyguide com,http://github.com/deivisonarthur/magentostudyguide.com
True,ahyatt/emacs-starter-kit,emacs starter kit,http://github.com/ahyatt/emacs-starter-kit
True,exilium/pifarm-device-python,pifarm device python,http://github.com/exilium/pifarm-device-python
True,elesdoar/geoservices-js,geoservices js,http://github.com/elesdoar/geoservices-js
True,travis4all/fasync,fasync,http://github.com/travis4all/fasync
True,joeldart/knockout,knockout,http://github.com/joeldart/knockout
True,kingklick/kk-vision-kernel,kk vision kernel,http://github.com/kingklick/kk-vision-kernel
True,vitr/github-blog-jb3,github blog jb3,http://github.com/vitr/github-blog-jb3
True,moira5/seo-services,seo services,http://github.com/moira5/seo-services
True,charlesvi/projecteuler01,projecteuler ,http://github.com/charlesvi/projecteuler01
True,sampa/yiiauth,yiiauth,http://github.com/sampa/yiiauth
True,tcp209/kernel_samsung_epic4gtouch,kernel samsung epic4gtouch,http://github.com/tcp209/kernel_samsung_epic4gtouch
True,lucasb-eyer/visionary,visionary,http://github.com/lucasb-eyer/visionary
True,leoherreramena/fchcge001swp_ocx_scr,fchcge swp ocx scr,http://github.com/leoherreramena/fchcge001swp_ocx_scr
True,mwanjajoel/matatu-experiment,matatu experiment,http://github.com/mwanjajoel/matatu-experiment
True,joergfiedler/node-scoped-http-client,node scoped http client,http://github.com/joergfiedler/node-scoped-http-client
True,robotonics/fileopener,fileopener,http://github.com/robotonics/fileopener
True,joesumiya/ericacarrinho,ericacarrinho,http://github.com/joesumiya/ericacarrinho
True,shdatta/chrome-app-samples,chrome app samples,http://github.com/shdatta/chrome-app-samples
True,serviceportalteam/capacitytool,capacitytool,http://github.com/serviceportalteam/capacitytool
True,leowebb/fossdirectory.github.io,fossdirectory github io,http://github.com/leowebb/fossdirectory.github.io
True,jasondavies/mex.js,mex js,http://github.com/jasondavies/mex.js
True,vimanhhiep/tieu-de-blog-day-ne-ne-ne-ne-ne-hi-hi,tieu de blog day ne ne ne ne ne hi hi,http://github.com/vimanhhiep/tieu-de-blog-day-ne-ne-ne-ne-ne-hi-hi
True,vitriolix/django_multiuploader,django multiuploader,http://github.com/vitriolix/django_multiuploader
True,ariansameni/logn,logn,http://github.com/ariansameni/logn
True,bkw795/sample_app_novii,sample app novii,http://github.com/bkw795/sample_app_novii
True,mharski/marjoecasidsid_webprog-oop-,marjoecasidsid webprog oop ,http://github.com/mharski/marjoecasidsid_webprog-oop-
True,vi880704/----,    ,http://github.com/vi880704/----
True,piemanstudios/pcnavigationcontroller,pcnavigationcontroller,http://github.com/piemanstudios/pcnavigationcontroller
True,elvislei/uniqush-push,uniqush push,http://github.com/elvislei/uniqush-push
True,vicfortran/simple-grid,simple grid,http://github.com/vicfortran/simple-grid
True,davgit/sammy,sammy,http://github.com/davgit/sammy
True,vinoth18/phonegap,phonegap,http://github.com/vinoth18/phonegap
True,greenleafone7/minicodeeditor,minicodeeditor,http://github.com/greenleafone7/minicodeeditor
True,crvidya/node-bufferstream,node bufferstream,http://github.com/crvidya/node-bufferstream
True,joelimome/sleekpubsub2,sleekpubsub2,http://github.com/joelimome/sleekpubsub2
True,david-s0/savitch-ch9,savitch ch9,http://github.com/david-s0/savitch-ch9
True,bogenpirat/interframe-avisynth-script,interframe avisynth script,http://github.com/bogenpirat/interframe-avisynth-script
True,jmhorak/css-overview,css overview,http://github.com/jmhorak/css-overview
True,vineetreynolds/incubator-deltaspike,incubator deltaspike,http://github.com/vineetreynolds/incubator-deltaspike
True,davidsulc/backbone.marionette-collection-example,backbone marionette collection example,http://github.com/davidsulc/backbone.marionette-collection-example
True,vim-scripts/sudoku_game,sudoku game,http://github.com/vim-scripts/sudoku_game
True,euskadi31/psproductreviews,psproductreviews,http://github.com/euskadi31/psproductreviews
True,davidmarques/geohtml,geohtml,http://github.com/davidmarques/geohtml
True,watsoncui/datavisualization,datavisualization,http://github.com/watsoncui/datavisualization
True,jerviver21/pruebaweb1,pruebaweb1,http://github.com/jerviver21/pruebaweb1
True,inser7/rovio8-flat,rovio8 flat,http://github.com/inser7/rovio8-flat
True,skington/acme-addslashes,acme addslashes,http://github.com/skington/acme-addslashes
True,roshan2989/android_device_samsung_galaxysmtd,android device samsung galaxysmtd,http://github.com/roshan2989/android_device_samsung_galaxysmtd
True,sandhyawy/sample,sample,http://github.com/sandhyawy/sample
True,dansam100/fydp,fydp,http://github.com/dansam100/fydp
True,ludvig/bitstarter,bitstarter,http://github.com/ludvig/bitstarter
True,namdefedi/the-best-torrent-for-movies,the best torrent for movies,http://github.com/namdefedi/the-best-torrent-for-movies
True,schisamo/chef-jenkins,chef jenkins,http://github.com/schisamo/chef-jenkins
True,jayjanssen/pxc_myisam_perf,pxc myisam perf,http://github.com/jayjanssen/pxc_myisam_perf
True,nestorcorrea/sample_app,sample app,http://github.com/nestorcorrea/sample_app
True,dayed/sublimetext2-ftpsync,sublimetext2 ftpsync,http://github.com/dayed/sublimetext2-ftpsync
True,rndstr/gist-vim,gist vim,http://github.com/rndstr/gist-vim
True,federatedmedia/cronviz,cronviz,http://github.com/federatedmedia/cronviz
True,mpopovichr/spoon-knife,spoon knife,http://github.com/mpopovichr/spoon-knife
True,bivinvinod/codex1,codex1,http://github.com/bivinvinod/codex1
True,fraviofii/rtdm-pwm,rtdm pwm,http://github.com/fraviofii/rtdm-pwm
True,wmspanel/nimble-streamer-player-samples,nimble streamer player samples,http://github.com/wmspanel/nimble-streamer-player-samples
True,daviddemello/web-dev-proxy,web dev proxy,http://github.com/daviddemello/web-dev-proxy
True,scavixsoftware/webframework,webframework,http://github.com/scavixsoftware/webframework
True,vikky49/android-websockets,android websockets,http://github.com/vikky49/android-websockets
True,rajesh-virtueinfo/symfony-standard,symfony standard,http://github.com/rajesh-virtueinfo/symfony-standard
True,gitappinformatics/sample_app,sample app,http://github.com/gitappinformatics/sample_app
True,virenderkumar/diaspora,diaspora,http://github.com/virenderkumar/diaspora
True,5argon/vimsettings,vimsettings,http://github.com/5argon/vimsettings
True,stenio123/horizontalslidingcarduiview,horizontalslidingcarduiview,http://github.com/stenio123/horizontalslidingcarduiview
True,lehui99/echoservice,echoservice,http://github.com/lehui99/echoservice
True,benben-yunyun/emacs_setting,emacs setting,http://github.com/benben-yunyun/emacs_setting
True,mosesmendoza/macvim_alias,macvim alias,http://github.com/mosesmendoza/macvim_alias
True,moviedo/owlcarousel,owlcarousel,http://github.com/moviedo/owlcarousel
True,illusionrom/android_device_generic_mini-emulator-armv7-a-neon,android device generic mini emulator armv7 a neon,http://github.com/illusionrom/android_device_generic_mini-emulator-armv7-a-neon
True,viper007bond/new-post-format-unmigrator,new post format unmigrator,http://github.com/viper007bond/new-post-format-unmigrator
True,bamanzi/emacs-for-python,emacs for python,http://github.com/bamanzi/emacs-for-python
True,reaper-guy/ultimatesurvivallab,ultimatesurvivallab,http://github.com/reaper-guy/ultimatesurvivallab
True,acabouet/survival-kit,survival kit,http://github.com/acabouet/survival-kit
True,goodfree/vitamiobundle,vitamiobundle,http://github.com/goodfree/vitamiobundle
True,vincent-chua/three.js,three js,http://github.com/vincent-chua/three.js
True,milianw/scivi,scivi,http://github.com/milianw/scivi
True,svinkle/longship,longship,http://github.com/svinkle/longship
True,thesambassador/ludumdare27,ludumdare ,http://github.com/thesambassador/ludumdare27
True,honavarsohaan/hoverpreview,hoverpreview,http://github.com/honavarsohaan/hoverpreview
True,emacsmirror/icomplete-plus,icomplete plus,http://github.com/emacsmirror/icomplete-plus
True,yongjunwen/customermovieplayer,customermovieplayer,http://github.com/yongjunwen/customermovieplayer
True,rouss/gmgridview,gmgridview,http://github.com/rouss/gmgridview
True,ibarnes/harbour-view,harbour view,http://github.com/ibarnes/harbour-view
True,vietphu/ztube-ios,ztube ios,http://github.com/vietphu/ztube-ios
True,pushonsam/flexisel,flexisel,http://github.com/pushonsam/flexisel
True,hopkinskong/android_device_htc_qsd8k-common,android device htc qsd8k common,http://github.com/hopkinskong/android_device_htc_qsd8k-common
True,lloydmoodley/servicestack.servicestack,servicestack servicestack,http://github.com/lloydmoodley/servicestack.servicestack
True,joshpencheon/textmate-themes,textmate themes,http://github.com/joshpencheon/textmate-themes
True,samny/op1,op1,http://github.com/samny/op1
True,vidibus/vidibus-pureftpd,vidibus pureftpd,http://github.com/vidibus/vidibus-pureftpd
True,zankevich/algorithms,algorithms,http://github.com/zankevich/algorithms
True,pravinkshephertz/rails_logger_uniconr,rails logger uniconr,http://github.com/pravinkshephertz/rails_logger_uniconr
True,alvinsdf/web-simulator,web simulator,http://github.com/alvinsdf/web-simulator
True,askerlee/invictus.io,invictus io,http://github.com/askerlee/invictus.io
True,blackfalcon/uxebootcamp-b12.graphvizdoc,uxebootcamp b  graphvizdoc,http://github.com/blackfalcon/uxebootcamp-b12.graphvizdoc
True,svincibo/openhatchpractice,openhatchpractice,http://github.com/svincibo/openhatchpractice
True,bacattak/sample_app_rails_4,sample app rails 4,http://github.com/bacattak/sample_app_rails_4
True,iandbird/vimeo.bundle,vimeo bundle,http://github.com/iandbird/vimeo.bundle
True,masterdidoo/seateditor,seateditor,http://github.com/masterdidoo/seateditor
True,drmanitoba/devise-and-cancan-demo,devise and cancan demo,http://github.com/drmanitoba/devise-and-cancan-demo
True,vikre/tdt4175,tdt ,http://github.com/vikre/tdt4175
True,laabroo/groupedtextview,groupedtextview,http://github.com/laabroo/groupedtextview
True,sam881/chrome-app-samples,chrome app samples,http://github.com/sam881/chrome-app-samples
True,hxprrn3856/xenon-lamps--night-driving-safer,xenon lamps  night driving safer,http://github.com/hxprrn3856/xenon-lamps--night-driving-safer
True,vinodk77/hibernet,hibernet,http://github.com/vinodk77/hibernet
True,joelschopp/libtpms,libtpms,http://github.com/joelschopp/libtpms
True,jmccaffrey/sample_app-1,sample app 1,http://github.com/jmccaffrey/sample_app-1
True,vividboarder/qfixtoggle,qfixtoggle,http://github.com/vividboarder/qfixtoggle
True,vietnv2707/sample_app,sample app,http://github.com/vietnv2707/sample_app
True,joelerik/jp,jp,http://github.com/joelerik/jp
True,articulate/visualstudio,visualstudio,http://github.com/articulate/visualstudio
True,kevinresol/flixel-addons,flixel addons,http://github.com/kevinresol/flixel-addons
True,monsterkode/notaris,notaris,http://github.com/monsterkode/notaris
True,vmiheer/dotemacs,dotemacs,http://github.com/vmiheer/dotemacs
True,pombredanne/django-csvimport,django csvimport,http://github.com/pombredanne/django-csvimport
True,opensamba/wiki,wiki,http://github.com/opensamba/wiki
True,greese/dasein-cloud-virtustream,dasein cloud virtustream,http://github.com/greese/dasein-cloud-virtustream
True,vquaiato/tdc2010-ironruby-samples,tdc  ironruby samples,http://github.com/vquaiato/tdc2010-ironruby-samples
True,guerramarvin/postmantocurl,postmantocurl,http://github.com/guerramarvin/postmantocurl
True,victorhugolgr/doc,doc,http://github.com/victorhugolgr/doc
True,leskod/practice1,practice1,http://github.com/leskod/practice1
True,ohoushyar/acme_store_app,acme store app,http://github.com/ohoushyar/acme_store_app
True,samrayner/html-compressor,html compressor,http://github.com/samrayner/html-compressor
True,david-wilson/blog,blog,http://github.com/david-wilson/blog
True,vietnam/html5-template,html5 template,http://github.com/vietnam/html5-template
True,heewa/environment,environment,http://github.com/heewa/environment
True,logiccoders/olimageview,olimageview,http://github.com/logiccoders/olimageview
True,u99vic/test,test,http://github.com/u99vic/test
True,ekansa/gapvis,gapvis,http://github.com/ekansa/gapvis
True,eagleoneraptor/gsharkdown,gsharkdown,http://github.com/eagleoneraptor/gsharkdown
True,olivierlacan/lobsters,lobsters,http://github.com/olivierlacan/lobsters
True,ya-888/videoandgameportal,videoandgameportal,http://github.com/ya-888/videoandgameportal
True,jcalau/mdw-guiaios02-uiwebview,mdw guiaios  uiwebview,http://github.com/jcalau/mdw-guiaios02-uiwebview
True,yukimasa2k/kyukonavi,kyukonavi,http://github.com/yukimasa2k/kyukonavi
True,visuallab/3dmodelview,3dmodelview,http://github.com/visuallab/3dmodelview
True,samphippen/wristbands,wristbands,http://github.com/samphippen/wristbands
True,leonvandaal/hellogitworld,hellogitworld,http://github.com/leonvandaal/hellogitworld
True,manvinder28/pushplugin,pushplugin,http://github.com/manvinder28/pushplugin
True,veminovici/vxberyllium,vxberyllium,http://github.com/veminovici/vxberyllium
True,evillegenius/openexr,openexr,http://github.com/evillegenius/openexr
True,eenvincible/newsblur,newsblur,http://github.com/eenvincible/newsblur
True,thisisvijay/nhibernate-core,nhibernate core,http://github.com/thisisvijay/nhibernate-core
True,ar-novasib/sample-app,sample app,http://github.com/ar-novasib/sample-app
True,pandastic/android-viewpagerindicator,android viewpagerindicator,http://github.com/pandastic/android-viewpagerindicator
True,vishrut/jss-mas,jss mas,http://github.com/vishrut/jss-mas
True,wisambaddar/cardetect,cardetect,http://github.com/wisambaddar/cardetect
True,moosemoose/oblivion,oblivion,http://github.com/moosemoose/oblivion
True,mjvillafana/work,work,http://github.com/mjvillafana/work
True,bbolli/delicious2atom,delicious2atom,http://github.com/bbolli/delicious2atom
True,jasonzyj/mini-vimtutor,mini vimtutor,http://github.com/jasonzyj/mini-vimtutor
True,xhms/viking,viking,http://github.com/xhms/viking
True,javieta/mari,mari,http://github.com/javieta/mari
True,joel-costigliola/fest-eclipse-plugin,fest eclipse plugin,http://github.com/joel-costigliola/fest-eclipse-plugin
True,kodilab/patterndesign,patterndesign,http://github.com/kodilab/patterndesign
True,snarf95/level-editor,level editor,http://github.com/snarf95/level-editor
True,ravi142/team11,team ,http://github.com/ravi142/team11
True,jdeng/levigo,levigo,http://github.com/jdeng/levigo
True,pb-pravin/programming-ios-book-examples,programming ios book examples,http://github.com/pb-pravin/programming-ios-book-examples
True,venkatesh1989/venkatesh,venkatesh,http://github.com/venkatesh1989/venkatesh
True,samssi/homepage,homepage,http://github.com/samssi/homepage
True,joergschiller/asset_sync,asset sync,http://github.com/joergschiller/asset_sync
True,rvignesh/disk-sim,disk sim,http://github.com/rvignesh/disk-sim
True,nivijah/r2,r2,http://github.com/nivijah/r2
True,rgerin/dataviz5,dataviz5,http://github.com/rgerin/dataviz5
True,kyleslattery/viddler,viddler,http://github.com/kyleslattery/viddler
True,simpleexpress/mvimrc,mvimrc,http://github.com/simpleexpress/mvimrc
True,samilton/homebrew,homebrew,http://github.com/samilton/homebrew
True,khalidelsayed/democornerlistview,democornerlistview,http://github.com/khalidelsayed/democornerlistview
True,evilpotato/android,android,http://github.com/evilpotato/android
True,vm381/sample_app,sample app,http://github.com/vm381/sample_app
True,x29a/movid,movid,http://github.com/x29a/movid
True,jonas8/aqgridview,aqgridview,http://github.com/jonas8/aqgridview
True,yunfeiflying/tornado-rest-web-service-framwork,tornado rest web service framwork,http://github.com/yunfeiflying/tornado-rest-web-service-framwork
True,ivangitgild/movingboxes,movingboxes,http://github.com/ivangitgild/movingboxes
True,d51/egotableviewpullrefresh,egotableviewpullrefresh,http://github.com/d51/egotableviewpullrefresh
True,peter6960/thingiview.js,thingiview js,http://github.com/peter6960/thingiview.js
