is_data_statistics	repo	terms	is_data_statistics	url
True	pawankmrai/ios-image-filters	ios image filters	False	http://github.com/pawankmrai/ios-image-filters
True	achoi007/projecteulersolutions	projecteulersolutions	True	http://github.com/achoi007/projecteulersolutions
True	julienp/gkimagepicker	gkimagepicker	False	http://github.com/julienp/gkimagepicker
True	possm/-plex-epicmealtime	 plex epicmealtime	False	http://github.com/possm/-plex-epicmealtime
True	chillybwoy/gears-sass	gears sass	False	http://github.com/chillybwoy/gears-sass
True	ecuageo/doorkeeper-example	doorkeeper example	False	http://github.com/ecuageo/doorkeeper-example
True	florres/sample_app	sample app	False	http://github.com/florres/sample_app
True	diegohsa/sample_app	sample app	False	http://github.com/diegohsa/sample_app
True	igoruha/demo_app	demo app	False	http://github.com/igoruha/demo_app
True	minamiyama1994/hiroshima-plus-plus.github.io	hiroshima plus plus github io	False	http://github.com/minamiyama1994/hiroshima-plus-plus.github.io
True	lukpaw/motoads	motoads	False	http://github.com/lukpaw/motoads
True	elica87/wix-gae-sample-app	wix gae sample app	False	http://github.com/elica87/wix-gae-sample-app
True	hmacosi/normalize.css-with-sass-or-compass	normalize css with sass or compass	False	http://github.com/hmacosi/normalize.css-with-sass-or-compass
True	928874125/samples	samples	False	http://github.com/928874125/samples
True	wonderllc/bootstrap-sass-scss-compass	bootstrap sass scss compass	False	http://github.com/wonderllc/bootstrap-sass-scss-compass
True	ghostandthemachine/hiccup-bridge	hiccup bridge	False	http://github.com/ghostandthemachine/hiccup-bridge
True	radicaleggnog/orange	orange	False	http://github.com/radicaleggnog/orange
True	suomisavi/sample_app	sample app	False	http://github.com/suomisavi/sample_app
True	ssafejava/nodejs-task	nodejs task	False	http://github.com/ssafejava/nodejs-task
True	ichikaway/codeigniter2-performancechecksample	codeigniter2 performancechecksample	False	http://github.com/ichikaway/codeigniter2-performancechecksample
True	johnbaums/jagstools	jagstools	True	http://github.com/johnbaums/jagstools
True	toddywang/nodejs_express_redis_user_login	nodejs express redis user login	False	http://github.com/toddywang/nodejs_express_redis_user_login
True	daveystuart/sample_app	sample app	False	http://github.com/daveystuart/sample_app
True	qzio/example-flattr-rails	example flattr rails	False	http://github.com/qzio/example-flattr-rails
True	phillipkerman/javascript-jasmine-unit-test-example	javascript jasmine unit test example	False	http://github.com/phillipkerman/javascript-jasmine-unit-test-example
True	fairwinds/epiceditor	epiceditor	False	http://github.com/fairwinds/epiceditor
True	festivalrepublic/soundmanager2-changed-high-performance-mode-to-false	soundmanager2 changed high performance mode to false	False	http://github.com/festivalrepublic/soundmanager2-changed-high-performance-mode-to-false
True	graffias/origin-server	origin server	False	http://github.com/graffias/origin-server
True	jags14385/testgrid	testgrid	False	http://github.com/jags14385/testgrid
True	jaz303/standalone-migrations	standalone migrations	False	http://github.com/jaz303/standalone-migrations
True	renzos/examples	examples	False	http://github.com/renzos/examples
True	helgoboss/h2-data-source-manager	h2 data source manager	False	http://github.com/helgoboss/h2-data-source-manager
True	drmingle/scikit-learn	scikit learn	True	http://github.com/drmingle/scikit-learn
True	filirom1/explore-teasing	explore teasing	False	http://github.com/filirom1/explore-teasing
True	alepimentel/exploratorio	exploratorio	False	http://github.com/alepimentel/exploratorio
True	winterswift/eulertools-for-java	eulertools for java	False	http://github.com/winterswift/eulertools-for-java
True	rtincar/avgrund	avgrund	False	http://github.com/rtincar/avgrund
True	sxtxixtxcxh/cheezy-sample-site	cheezy sample site	False	http://github.com/sxtxixtxcxh/cheezy-sample-site
True	suicidepills/zombie-sim	zombie sim	False	http://github.com/suicidepills/zombie-sim
True	staskobzar/sample_app	sample app	False	http://github.com/staskobzar/sample_app
True	bonifacio2/sample_app	sample app	False	http://github.com/bonifacio2/sample_app
True	garethbowles/nagios-ec2-spot-price-plugin	nagios ec2 spot price plugin	False	http://github.com/garethbowles/nagios-ec2-spot-price-plugin
True	yoanvillanueva/minecraft-server-manager	minecraft server manager	False	http://github.com/yoanvillanueva/minecraft-server-manager
True	notdryft/gatling-debug-simulation	gatling debug simulation	False	http://github.com/notdryft/gatling-debug-simulation
True	paulortega/web460_mobilejson	web  mobilejson	False	http://github.com/paulortega/web460_mobilejson
True	shrekshih/blog-examples	blog examples	False	http://github.com/shrekshih/blog-examples
True	mustangshelbi/python3	python3	False	http://github.com/mustangshelbi/python3
True	wypi07/sample_app	sample app	False	http://github.com/wypi07/sample_app
True	jsenick/google-api-nodejs-client	google api nodejs client	False	http://github.com/jsenick/google-api-nodejs-client
True	pravinmohite/sampleapplication	sampleapplication	False	http://github.com/pravinmohite/sampleapplication
True	hoiwilmer/sample_app	sample app	False	http://github.com/hoiwilmer/sample_app
True	epictetus/jpmobile	jpmobile	False	http://github.com/epictetus/jpmobile
True	ivoke/bootstrap-datepicker-rails	bootstrap datepicker rails	False	http://github.com/ivoke/bootstrap-datepicker-rails
True	evonli/insubstantial	insubstantial	False	http://github.com/evonli/insubstantial
True	johannbarbie/maven_flex_examples	maven flex examples	False	http://github.com/johannbarbie/maven_flex_examples
True	epictetus/heroku-buildpack-perl	heroku buildpack perl	False	http://github.com/epictetus/heroku-buildpack-perl
True	asofa/iptables	iptables	False	http://github.com/asofa/iptables
True	hyl1987419/dart-tutorials-samples	dart tutorials samples	False	http://github.com/hyl1987419/dart-tutorials-samples
True	juandapp/proydb	proydb	False	http://github.com/juandapp/proydb
True	stanistan/pimple	pimple	False	http://github.com/stanistan/pimple
True	mahenode/sample	sample	False	http://github.com/mahenode/sample
True	arunagarwal/wonderland	wonderland	False	http://github.com/arunagarwal/wonderland
True	zef/sass-textmate-bundle	sass textmate bundle	False	http://github.com/zef/sass-textmate-bundle
True	openflex/building-web-standards-talk	building web standards talk	False	http://github.com/openflex/building-web-standards-talk
True	stanmihai4/mock-s3	mock s3	False	http://github.com/stanmihai4/mock-s3
True	roundlake/joosy-example	joosy example	False	http://github.com/roundlake/joosy-example
True	svinci/python_examples	python examples	False	http://github.com/svinci/python_examples
True	gnagel/nodejs-simple-hash	nodejs simple hash	False	http://github.com/gnagel/nodejs-simple-hash
True	kumar79/bootstrap-datepicker	bootstrap datepicker	False	http://github.com/kumar79/bootstrap-datepicker
True	ealk/libev-examples	libev examples	False	http://github.com/ealk/libev-examples
True	ssarip1/sample_app	sample app	False	http://github.com/ssarip1/sample_app
True	sready/mobilepack-backbonejs	mobilepack backbonejs	False	http://github.com/sready/mobilepack-backbonejs
True	mrdavidlaing/gitattributes	gitattributes	False	http://github.com/mrdavidlaing/gitattributes
True	hermes-logicalbricks/savon	savon	False	http://github.com/hermes-logicalbricks/savon
True	mencarnacao/nmessaging	nmessaging	False	http://github.com/mencarnacao/nmessaging
True	acconut/brackets-nodejs	brackets nodejs	False	http://github.com/acconut/brackets-nodejs
True	aclave1/cors-upload-sample	cors upload sample	False	http://github.com/aclave1/cors-upload-sample
True	jeevanpawar/nehaphoto	nehaphoto	False	http://github.com/jeevanpawar/nehaphoto
True	amareshp/my_sample	my sample	False	http://github.com/amareshp/my_sample
True	substack/airport-cluster-example	airport cluster example	False	http://github.com/substack/airport-cluster-example
True	gokulb/kodo-ns3-examples	kodo ns3 examples	True	http://github.com/gokulb/kodo-ns3-examples
True	b4u/nmath	nmath	True	http://github.com/b4u/nmath
True	alonight/sample2_app	sample2 app	False	http://github.com/alonight/sample2_app
True	sumitarora/go-examples	go examples	False	http://github.com/sumitarora/go-examples
True	lyneryqedok/top-100-lolitas-galleries	top   lolitas galleries	False	http://github.com/lyneryqedok/top-100-lolitas-galleries
True	rishid/open-source-management-systems	open source management systems	False	http://github.com/rishid/open-source-management-systems
True	meitar/fetlife-epic-thread	fetlife epic thread	False	http://github.com/meitar/fetlife-epic-thread
True	banta/rails-prelaunch-signup	rails prelaunch signup	False	http://github.com/banta/rails-prelaunch-signup
True	domonlee/fileexplorer	fileexplorer	False	http://github.com/domonlee/fileexplorer
True	michael-dev/roundcube-plugin-openldap-passwd	roundcube plugin openldap passwd	False	http://github.com/michael-dev/roundcube-plugin-openldap-passwd
True	markan82/baas.io-sample-android	baas io sample android	False	http://github.com/markan82/baas.io-sample-android
True	rarun97/mysamples	mysamples	False	http://github.com/rarun97/mysamples
True	avenauche/sublimejs	sublimejs	False	http://github.com/avenauche/sublimejs
True	thecountofzero/donejs.com	donejs com	False	http://github.com/thecountofzero/donejs.com
True	bojoer/kjsenchaexample	kjsenchaexample	False	http://github.com/bojoer/kjsenchaexample
True	msu-rcg/ansible-examples	ansible examples	False	http://github.com/msu-rcg/ansible-examples
True	nick-brown/contact-manager	contact manager	False	http://github.com/nick-brown/contact-manager
True	edwardt/oauth2_example	oauth2 example	False	http://github.com/edwardt/oauth2_example
True	danielctull-forks/pxsimpletableadapter	pxsimpletableadapter	False	http://github.com/danielctull-forks/pxsimpletableadapter
True	rjd318/dosasite	dosasite	False	http://github.com/rjd318/dosasite
True	behaghel/sample-cqrs-cargo	sample cqrs cargo	False	http://github.com/behaghel/sample-cqrs-cargo
True	petedogg27/standards-and-practices	standards and practices	False	http://github.com/petedogg27/standards-and-practices
True	episko/beautiful-web-type	beautiful web type	False	http://github.com/episko/beautiful-web-type
True	benoitbac/specflow-examples	specflow examples	False	http://github.com/benoitbac/specflow-examples
True	keepfocus/puppet-nodejs	puppet nodejs	False	http://github.com/keepfocus/puppet-nodejs
True	arokux/matlab-snippets	matlab snippets	True	http://github.com/arokux/matlab-snippets
True	samuel144/restangular	restangular	False	http://github.com/samuel144/restangular
True	miyanaga/nginx-requestkey-module	nginx requestkey module	False	http://github.com/miyanaga/nginx-requestkey-module
True	fourchar/mc-servermanager-plugin	mc servermanager plugin	False	http://github.com/fourchar/mc-servermanager-plugin
True	akshar-raaj/project-euler-javascript	project euler javascript	True	http://github.com/akshar-raaj/project-euler-javascript
True	scottshea/sampleproject	sampleproject	False	http://github.com/scottshea/sampleproject
True	riku-sandeep/example	example	False	http://github.com/riku-sandeep/example
True	deepinit-arek/animate.css	animate css	False	http://github.com/deepinit-arek/animate.css
True	cstar/strophejs	strophejs	False	http://github.com/cstar/strophejs
True	dapolinario/pkgbuild-aur	pkgbuild aur	False	http://github.com/dapolinario/pkgbuild-aur
True	ajayso/azure-service-bus---messaging-samples	azure service bus   messaging samples	False	http://github.com/ajayso/azure-service-bus---messaging-samples
True	mattgathu/heroku-buildpack-python-scipy	heroku buildpack python scipy	True	http://github.com/mattgathu/heroku-buildpack-python-scipy
True	rhaimson/sample_app	sample app	False	http://github.com/rhaimson/sample_app
True	tihancock/projecteuler	projecteuler	True	http://github.com/tihancock/projecteuler
True	kehosford/mdandroidapp	mdandroidapp	False	http://github.com/kehosford/mdandroidapp
True	embedded-webruntime/adaptation-n9-xorg-x11-mtev	adaptation n9 xorg x  mtev	False	http://github.com/embedded-webruntime/adaptation-n9-xorg-x11-mtev
True	akavel/gomatrix	gomatrix	False	http://github.com/akavel/gomatrix
True	tylerheintz/sample_app	sample app	False	http://github.com/tylerheintz/sample_app
True	clst/activerecord-sqlanywhere-adapter	activerecord sqlanywhere adapter	False	http://github.com/clst/activerecord-sqlanywhere-adapter
True	monkey1127/sampler	sampler	False	http://github.com/monkey1127/sampler
True	anoopchaurasia/javascript-file-manager	javascript file manager	False	http://github.com/anoopchaurasia/javascript-file-manager
True	pestrada/angularjs-sample	angularjs sample	False	http://github.com/pestrada/angularjs-sample
True	zezzi/mdwmapasymarkersoriginal	mdwmapasymarkersoriginal	False	http://github.com/zezzi/mdwmapasymarkersoriginal
True	dimitardanailov/158ltd-ios-example	 ltd ios example	False	http://github.com/dimitardanailov/158ltd-ios-example
True	longamu/spring-hadoop-samples	spring hadoop samples	False	http://github.com/longamu/spring-hadoop-samples
True	shaunstanislaus/github	github	False	http://github.com/shaunstanislaus/github
True	mijndert/moneybird-examples	moneybird examples	False	http://github.com/mijndert/moneybird-examples
True	elkoolt/mahout-naive-bayes-example	mahout naive bayes example	True	http://github.com/elkoolt/mahout-naive-bayes-example
True	gprotin/bootstrap-datepicker	bootstrap datepicker	False	http://github.com/gprotin/bootstrap-datepicker
True	mcdonc/bootstrap-datetimepicker	bootstrap datetimepicker	False	http://github.com/mcdonc/bootstrap-datetimepicker
True	jpmcadoo/cbsi-php-coding-standard	cbsi php coding standard	False	http://github.com/jpmcadoo/cbsi-php-coding-standard
True	myoung3333/origin	origin	False	http://github.com/myoung3333/origin
True	stanroze/titan	titan	False	http://github.com/stanroze/titan
True	bilalnasir/hibernate-sample1	hibernate sample1	False	http://github.com/bilalnasir/hibernate-sample1
True	thelonecabbage/bootstrap-timepicker	bootstrap timepicker	False	http://github.com/thelonecabbage/bootstrap-timepicker
True	yhuiyang/andengineexamples	andengineexamples	False	http://github.com/yhuiyang/andengineexamples
True	tristan46/stormworm	stormworm	False	http://github.com/tristan46/stormworm
True	edenn/projecteulerproblems	projecteulerproblems	True	http://github.com/edenn/projecteulerproblems
True	jcanfield/modern-ui-sass	modern ui sass	False	http://github.com/jcanfield/modern-ui-sass
True	yoryoplus/code_samples	code samples	False	http://github.com/yoryoplus/code_samples
True	beilabs/ruby-sample	ruby sample	False	http://github.com/beilabs/ruby-sample
True	idleberg/applepips-terminal	applepips terminal	False	http://github.com/idleberg/applepips-terminal
True	litvinenko/laravel-ajax-example	laravel ajax example	False	http://github.com/litvinenko/laravel-ajax-example
True	mazx/sample_code	sample code	False	http://github.com/mazx/sample_code
True	cedl38/xkeyboard-config-rats	xkeyboard config rats	False	http://github.com/cedl38/xkeyboard-config-rats
True	simonwistow/text-original	text original	False	http://github.com/simonwistow/text-original
True	nbluis/web-audio-hero-examples	web audio hero examples	False	http://github.com/nbluis/web-audio-hero-examples
True	leonsas/pocket	pocket	False	http://github.com/leonsas/pocket
True	motoroku/sampleangularjs	sampleangularjs	False	http://github.com/motoroku/sampleangularjs
True	binlyzhuo/dapper.simplecrud	dapper simplecrud	False	http://github.com/binlyzhuo/dapper.simplecrud
True	grj1046/nodejs-expat	nodejs expat	False	http://github.com/grj1046/nodejs-expat
True	alberovalley/googleapisexamples	googleapisexamples	False	http://github.com/alberovalley/googleapisexamples
True	jacabreu/cg-opengl-octave	cg opengl octave	False	http://github.com/jacabreu/cg-opengl-octave
True	vmharrel/cdh-twitter-example	cdh twitter example	False	http://github.com/vmharrel/cdh-twitter-example
True	kin-y/minimalunityexamples	minimalunityexamples	False	http://github.com/kin-y/minimalunityexamples
True	mselep/matlab-batch-analysis	matlab batch analysis	True	http://github.com/mselep/matlab-batch-analysis
True	orlanjo/introduction-to-nodejs-and-mongo-db--example-	introduction to nodejs and mongo db  example 	False	http://github.com/orlanjo/introduction-to-nodejs-and-mongo-db--example-
True	stephenjjones/sample_app	sample app	False	http://github.com/stephenjjones/sample_app
True	dariusk/examplebot	examplebot	False	http://github.com/dariusk/examplebot
True	baniani/sample_app	sample app	False	http://github.com/baniani/sample_app
True	ogbuchistanley/aws-php-sample	aws php sample	False	http://github.com/ogbuchistanley/aws-php-sample
True	constantorbit/sucker_punch	sucker punch	False	http://github.com/constantorbit/sucker_punch
True	eiriklied/promise-example	promise example	False	http://github.com/eiriklied/promise-example
True	n1mbus/macsampleapplications	macsampleapplications	False	http://github.com/n1mbus/macsampleapplications
True	benwagle/scikit-learn	scikit learn	True	http://github.com/benwagle/scikit-learn
True	undernewmanagement/laravel-4-bootstrap-starter-site	laravel 4 bootstrap starter site	False	http://github.com/undernewmanagement/laravel-4-bootstrap-starter-site
True	orangecraz/sample	sample	False	http://github.com/orangecraz/sample
True	sashkab/dotfiles	dotfiles	False	http://github.com/sashkab/dotfiles
True	ato/keepia	keepia	False	http://github.com/ato/keepia
True	hiroshik/jquery.adaptive-backgrounds.js	jquery adaptive backgrounds js	False	http://github.com/hiroshik/jquery.adaptive-backgrounds.js
True	davidlowry/campaigning	campaigning	False	http://github.com/davidlowry/campaigning
True	ichag/dependency-injection-example	dependency injection example	False	http://github.com/ichag/dependency-injection-example
True	clouddueling/angular-authentication-example	angular authentication example	False	http://github.com/clouddueling/angular-authentication-example
True	jakobsson/exampleforumapp	exampleforumapp	False	http://github.com/jakobsson/exampleforumapp
True	tristanbuckner/elasticsearch	elasticsearch	False	http://github.com/tristanbuckner/elasticsearch
True	sashavasko/wifiafterconnect.test	wifiafterconnect test	False	http://github.com/sashavasko/wifiafterconnect.test
True	knuepwebdev/sample_app	sample app	False	http://github.com/knuepwebdev/sample_app
True	fengzanfeng/hbase-manager	hbase manager	False	http://github.com/fengzanfeng/hbase-manager
True	liuhaif/finagle	finagle	False	http://github.com/liuhaif/finagle
True	abrahamsangha/sample_app	sample app	False	http://github.com/abrahamsangha/sample_app
True	legallybrown/google-api-ruby-client-samples	google api ruby client samples	False	http://github.com/legallybrown/google-api-ruby-client-samples
True	nkjoep/heroku-nodejs-app-template	heroku nodejs app template	False	http://github.com/nkjoep/heroku-nodejs-app-template
True	altimon/sample_app	sample app	False	http://github.com/altimon/sample_app
True	chargebee/chargebee-samples	chargebee samples	False	http://github.com/chargebee/chargebee-samples
True	haitike/pylabra	pylabra	True	http://github.com/haitike/pylabra
True	maplecroft/leaflet-plugins	leaflet plugins	False	http://github.com/maplecroft/leaflet-plugins
True	leocnj/word2vecexample	word2vecexample	False	http://github.com/leocnj/word2vecexample
True	depsast/depoa	depoa	False	http://github.com/depsast/depoa
True	matizimmermann/enterprise-manager	enterprise manager	False	http://github.com/matizimmermann/enterprise-manager
True	cream/notifications-manager	notifications manager	False	http://github.com/cream/notifications-manager
True	eluceo/contactsexample	contactsexample	False	http://github.com/eluceo/contactsexample
True	cheachwood/android-apprentissage	android apprentissage	False	http://github.com/cheachwood/android-apprentissage
True	bokisoft/gyroscopeexplorer	gyroscopeexplorer	False	http://github.com/bokisoft/gyroscopeexplorer
True	smwharton/threejs-collada	threejs collada	False	http://github.com/smwharton/threejs-collada
True	christianmeese/sample_app	sample app	False	http://github.com/christianmeese/sample_app
True	etranciuc/pslocationmanager	pslocationmanager	False	http://github.com/etranciuc/pslocationmanager
True	cykustcc/explore_california	explore california	False	http://github.com/cykustcc/explore_california
True	tolgadatlica/karkas.examples.sqlserver.northwind	karkas examples sqlserver northwind	False	http://github.com/tolgadatlica/karkas.examples.sqlserver.northwind
True	nicw/gkimagepicker	gkimagepicker	False	http://github.com/nicw/gkimagepicker
True	meishijiemeimei/puremvc-as3-standard-framework	puremvc as3 standard framework	False	http://github.com/meishijiemeimei/puremvc-as3-standard-framework
True	vm7/sample_app	sample app	False	http://github.com/vm7/sample_app
True	cms-cvs-history/utilities-lstoreadaptor	utilities lstoreadaptor	False	http://github.com/cms-cvs-history/utilities-lstoreadaptor
True	jthacker/project-euler-in-clojure	project euler in clojure	True	http://github.com/jthacker/project-euler-in-clojure
True	mbeso/librarymanagementsystem	librarymanagementsystem	False	http://github.com/mbeso/librarymanagementsystem
True	luigimassa/sylius-standard	sylius standard	False	http://github.com/luigimassa/sylius-standard
True	astuetz/android-viewpagertabs-example	android viewpagertabs example	False	http://github.com/astuetz/android-viewpagertabs-example
True	shaunstanislaus/front-end-frameworks	front end frameworks	False	http://github.com/shaunstanislaus/front-end-frameworks
True	itzii/sample_app	sample app	False	http://github.com/itzii/sample_app
True	pawankmrai/json-framework	json framework	False	http://github.com/pawankmrai/json-framework
True	basicdays/js-ui-sample	js ui sample	False	http://github.com/basicdays/js-ui-sample
True	lynnchin/messageboard-example	messageboard example	False	http://github.com/lynnchin/messageboard-example
True	cdanes/backbonejsspike	backbonejsspike	False	http://github.com/cdanes/backbonejsspike
True	gussmith23/sample_app	sample app	False	http://github.com/gussmith23/sample_app
True	julceslauhub/opencart	opencart	False	http://github.com/julceslauhub/opencart
True	xutongxue/featureexplore	featureexplore	True	http://github.com/xutongxue/featureexplore
True	supercompany2020/pushwoosh-sdk-samples	pushwoosh sdk samples	False	http://github.com/supercompany2020/pushwoosh-sdk-samples
True	jdempcy/androidfilemanager	androidfilemanager	False	http://github.com/jdempcy/androidfilemanager
True	hcchen/cdk-examples	cdk examples	False	http://github.com/hcchen/cdk-examples
True	me435/androidlibraries_v01	androidlibraries v 	False	http://github.com/me435/androidlibraries_v01
True	canuckistani/polyglotconf.github.com	polyglotconf github com	False	http://github.com/canuckistani/polyglotconf.github.com
True	dreamtopia/example	example	False	http://github.com/dreamtopia/example
True	woyusi/uidynamicexample	uidynamicexample	False	http://github.com/woyusi/uidynamicexample
True	kickstandproject/kickstandproject-jeepyb	kickstandproject jeepyb	False	http://github.com/kickstandproject/kickstandproject-jeepyb
True	bradparks/web-related-examples	web related examples	False	http://github.com/bradparks/web-related-examples
True	asacavanagh/sniperslice	sniperslice	False	http://github.com/asacavanagh/sniperslice
True	igorlima/ekwal	ekwal	False	http://github.com/igorlima/ekwal
True	joshuaburkhart/lab_usage	lab usage	False	http://github.com/joshuaburkhart/lab_usage
True	fbsamples/ios-3.x-howtos	ios 3 x howtos	False	http://github.com/fbsamples/ios-3.x-howtos
True	ithillel-sanchess/spring-data-jpa-examples	spring data jpa examples	False	http://github.com/ithillel-sanchess/spring-data-jpa-examples
True	remy22/blogger-manager	blogger manager	False	http://github.com/remy22/blogger-manager
True	trickster1988/passwordmanager	passwordmanager	False	http://github.com/trickster1988/passwordmanager
True	dancarter/shapes	shapes	False	http://github.com/dancarter/shapes
True	ginganinja/sample_app	sample app	False	http://github.com/ginganinja/sample_app
True	acook/instant_install	instant install	False	http://github.com/acook/instant_install
True	ntustison/templatebuildingexample	templatebuildingexample	False	http://github.com/ntustison/templatebuildingexample
True	declanshanaghy/max756breakout	max breakout	False	http://github.com/declanshanaghy/max756breakout
True	paypal/rest-api-sample-app-nodejs	rest api sample app nodejs	False	http://github.com/paypal/rest-api-sample-app-nodejs
True	ryu1nag/json.el	json el	False	http://github.com/ryu1nag/json.el
True	cs475x/minecraft-server-manager	minecraft server manager	False	http://github.com/cs475x/minecraft-server-manager
True	liveink/node-js-sample	node js sample	False	http://github.com/liveink/node-js-sample
True	mambrus/sampler	sampler	False	http://github.com/mambrus/sampler
True	purnam/example.purnam.game	example purnam game	False	http://github.com/purnam/example.purnam.game
True	codekoala/gondor-sample	gondor sample	False	http://github.com/codekoala/gondor-sample
True	vertis/adapter-pstore	adapter pstore	False	http://github.com/vertis/adapter-pstore
True	juliavalchuk/github	github	False	http://github.com/juliavalchuk/github
True	igorpan/piflex-file-upload-bundle	piflex file upload bundle	False	http://github.com/igorpan/piflex-file-upload-bundle
True	tenepopyatam/sample_app	sample app	False	http://github.com/tenepopyatam/sample_app
True	ovlacd/sample_app	sample app	False	http://github.com/ovlacd/sample_app
True	devbootcamplaura/surveys	surveys	False	http://github.com/devbootcamplaura/surveys
True	v1t5vgfysxt41fk5/sample02	sample 	False	http://github.com/v1t5vgfysxt41fk5/sample02
True	nodejsgrenoble/cocity.io	cocity io	False	http://github.com/nodejsgrenoble/cocity.io
True	rickpage/django-example	django example	False	http://github.com/rickpage/django-example
True	ray-dong/jenkins-ios-example	jenkins ios example	False	http://github.com/ray-dong/jenkins-ios-example
True	zancarius/dotfiles	dotfiles	False	http://github.com/zancarius/dotfiles
True	doncarlton/foscam-zoneminder	foscam zoneminder	False	http://github.com/doncarlton/foscam-zoneminder
True	erlangdev/erlangotpbooksamples	erlangotpbooksamples	False	http://github.com/erlangdev/erlangotpbooksamples
True	troger/nuxeo-nodejs-shell	nuxeo nodejs shell	False	http://github.com/troger/nuxeo-nodejs-shell
True	santiagogg/db-manager	db manager	False	http://github.com/santiagogg/db-manager
True	davidlandreman/jquery.dfp.js	jquery dfp js	False	http://github.com/davidlandreman/jquery.dfp.js
True	simmsr/sample_app	sample app	False	http://github.com/simmsr/sample_app
True	cwarden/puppet-nagios	puppet nagios	False	http://github.com/cwarden/puppet-nagios
True	glebrock/spring-mvc-examples	spring mvc examples	False	http://github.com/glebrock/spring-mvc-examples
True	sandeepkj/platform-samples	platform samples	False	http://github.com/sandeepkj/platform-samples
True	cheatiiit/donago	donago	False	http://github.com/cheatiiit/donago
True	ctarrington/activemqsamples	activemqsamples	False	http://github.com/ctarrington/activemqsamples
True	kspannuth/nodejs-against-humanity	nodejs against humanity	False	http://github.com/kspannuth/nodejs-against-humanity
